Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
14.0,3.0,750.0,26.0,0.0
23.0,19.0,4750.0,62.0,0.0
11.0,7.0,1750.0,75.0,0.0
14.0,3.0,750.0,28.0,0.0
20.0,14.0,3500.0,69.0,1.0
4.0,2.0,500.0,46.0,0.0
11.0,2.0,500.0,25.0,0.0
11.0,3.0,750.0,37.0,0.0
16.0,4.0,1000.0,33.0,0.0
21.0,7.0,1750.0,38.0,0.0
13.0,7.0,1750.0,76.0,0.0
16.0,6.0,1500.0,50.0,0.0
14.0,3.0,750.0,33.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
17.0,7.0,1750.0,58.0,1.0
14.0,3.0,750.0,35.0,0.0
14.0,3.0,750.0,35.0,0.0
16.0,7.0,1750.0,64.0,0.0
21.0,2.0,500.0,21.0,0.0
16.0,3.0,750.0,35.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
14.0,2.0,500.0,29.0,0.0
11.0,4.0,1000.0,74.0,0.0
11.0,2.0,500.0,38.0,1.0
21.0,6.0,1500.0,48.0,0.0
23.0,2.0,500.0,23.0,0.0
23.0,6.0,1500.0,45.0,0.0
14.0,2.0,500.0,35.0,1.0
16.0,6.0,1500.0,81.0,0.0
16.0,4.0,1000.0,58.0,0.0
16.0,5.0,1250.0,71.0,0.0
21.0,2.0,500.0,26.0,0.0
21.0,3.0,750.0,35.0,0.0
21.0,3.0,750.0,35.0,0.0
23.0,8.0,2000.0,69.0,0.0
21.0,3.0,750.0,38.0,0.0
23.0,3.0,750.0,35.0,0.0
21.0,3.0,750.0,40.0,0.0
23.0,2.0,500.0,28.0,0.0
21.0,1.0,250.0,21.0,0.0
21.0,1.0,250.0,21.0,0.0
25.0,6.0,1500.0,50.0,0.0
21.0,1.0,250.0,21.0,0.0
21.0,1.0,250.0,21.0,0.0
23.0,3.0,750.0,39.0,0.0
21.0,2.0,500.0,33.0,0.0
14.0,3.0,750.0,79.0,0.0
23.0,1.0,250.0,23.0,1.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,4.0,1000.0,52.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,7.0,1750.0,88.0,0.0
16.0,3.0,750.0,86.0,0.0
23.0,2.0,500.0,38.0,0.0
21.0,2.0,500.0,52.0,0.0
23.0,3.0,750.0,62.0,0.0
39.0,1.0,250.0,39.0,0.0
72.0,1.0,250.0,72.0,0.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6.010160091513727,3.864400065366948,966.1000163417369,12.884720248394402,0.0
4.0,5.837354578443925,1459.3386446109814,21.151622831739097,0.3604409035926791
7.8427935031410625,5.29839855625357,1324.5996390633923,22.491992781267847,0.0
2.3699395260069176,6.184969763003458,1546.2424407508647,28.739879052013833,1.0
22.83351729946537,1.9920722523554937,498.0180630888734,25.809734056531852,0.007927747644506211
2.599438110417543,11.0,2750.0,76.26922638587564,0.9333957655091619
3.7557227722128808,9.442772277871194,2360.6930694677985,37.633742578375646,0.7557227722128805
21.416756635637473,3.0,750.0,37.5371769887694,0.0
9.152001028663738,16.48399819983846,4120.999549959614,36.66800282882528,1.0
0.861549265597416,4.87183088532472,1217.95772133118,7.446197062389665,0.143591544266236
6.141442361658192,2.122651091191687,530.6627727979217,14.528186905699759,0.0
14.139129861627332,7.5130454843043415,1878.2613710760852,43.91305207559003,0.0
2.827939691304132,1.2365541975154664,309.1385493788666,7.913854937886659,0.0
14.167317455458125,7.916341272270937,1979.0853180677345,48.621583358844845,0.0
5.776282811723401,6.035043748964534,1508.7609372411334,41.021589054475136,0.37061953137943326
11.244803181952319,3.9332354958311857,983.3088739577964,16.13352900833763,1.0
12.107652886576037,7.973086778355991,1993.2716945889977,52.32295865972811,0.3243622594519969
4.0,7.427802825151454,1856.9507062878633,19.610378289653532,0.08174245354979237
9.385746650173694,2.527553332155264,631.888333038816,29.464366625434238,0.4724466678447361
9.89991045959162,6.514234548338068,1628.5586370845174,48.7092210776669,0.0
23.0,3.1496197033166147,787.4049258291536,42.44632379872727,0.0
2.3095468405227035,2.6251209127441935,656.2802281860484,4.012054463397573,0.07738671013067588
3.377728408746236,21.665926131193533,5416.481532798383,46.08730907987954,1.0
3.126407822258248,2.3218308063594995,580.4577015898749,25.17235794292662,0.0
11.22054617656758,2.5752619896136717,643.8154974034179,18.9731660727043,0.5752619896136717
13.931776903944316,1.8863813268810072,471.5953317202518,25.011543489956907,0.0
15.144604206553089,4.129667668226926,1032.4169170567313,44.56348028788619,0.3740664663546148
9.68179132359607,3.4350534243983155,858.7633560995788,22.668742920387086,0.0
1.5754568914073048,9.181592668555478,2295.3981671388697,66.4834202341847,0.0
12.38266836355799,2.9070875406781065,726.7718851695266,28.754318200845564,0.45354377033905324
5.594107865528356,2.6006546816079608,650.1636704019901,19.594107865528358,0.6006546816079605
6.688301727116071,1.7759748560736606,443.9937140184152,35.39937140184152,0.0
13.672589429630069,1.3274105703699317,331.8526425924829,20.548211407398632,0.0
3.051175527504064,1.1407327006361765,285.18317515904414,4.061892195709332,0.987206118123984
10.206520408385604,1.568077873242863,392.01946831071575,21.568077873242864,0.0
2.0,6.81849282612712,1704.62320653178,75.0397225221729,0.0
3.3036515362439305,4.044522695634104,1011.130673908526,28.0,0.34817423187803465
5.948071230878049,4.852596438456097,1213.1491096140244,34.99161725417805,0.0
4.0,1.0006174149513378,250.15435373783444,4.016052788734783,0.0
15.157360797365657,2.761688546952472,690.4221367381181,28.076410141683787,0.41277048434917596
2.4251394464680684,3.3622908302978978,840.5727075744744,11.874302767659659,0.7874302767659659
13.124915908873954,5.600134545801675,1400.0336364504187,28.650370000954606,0.0
15.04504377277398,1.9204203143978316,480.1050785994579,64.74774075025688,0.0
5.191211631547609,6.0,1500.0,33.10519270663261,0.829826909778913
10.81476815568491,8.835349471719919,2208.83736792998,37.25907262273964,0.02058131603501001
4.26353631133132,1.1882402223795143,297.0600555948786,5.392977645608406,0.0
12.240280499483992,1.7441682996903958,436.0420749225989,13.976673198761581,0.0
8.635578144536172,6.780111014595744,1695.027753648936,28.0,0.0
6.277519787534738,4.005214680659712,1001.3036701649282,31.6071863816666,0.0
17.97120443439917,2.0,500.0,20.799901940049637,0.0
4.3532737588897135,2.0,500.0,12.680909827778367,1.0
9.0,4.404956794868072,1101.239198717018,28.818212884676807,0.0
7.959029790008315,11.187708937002494,2796.9272342506238,39.48118639102411,0.6040970209991685
19.76272039534221,3.0,750.0,49.54609575713982,0.0
3.158166904843972,3.579083452421986,894.7708631054963,13.89541726210993,0.0
6.595213566191662,3.4007977389680564,850.1994347420141,27.402127303914817,0.8002659129893521
3.2450713536050015,5.152107555172493,1288.0268887931231,28.912645331034955,0.37746432319749934
3.9990815911978452,5.427915422284175,1356.9788555710438,29.426997013482023,0.0
9.493929457813454,11.0433224035948,2760.8306008987,68.71054147578745,0.45060705421865455
6.865887316928659,15.140233804921403,3785.0584512303503,43.445185902164454,0.7134112683071341
21.877574074180668,11.915494709192668,2978.873677298167,80.65331481598733,0.0
8.261188710649423,8.40895096851954,2102.2377421298847,34.45370581111724,0.14776225787011532
2.0,10.26089239430533,2565.223098576332,77.0,0.12077379238167885
10.35326489114931,11.472854238045166,2868.2135595112914,77.03540048626223,0.0
11.292445279083413,5.707554720916589,1426.8886802291472,32.45897854289035,0.0
13.594950146142585,3.484632174173411,871.1580435433527,27.67453246645858,0.0
7.494827807266677,3.3832656810705863,845.8164202676467,24.972109468450977,0.7944218936901954
10.715569365331415,2.0825716457545878,520.6429114386469,50.22943443537387,0.5412858228772939
6.39060675019138,1.512154805534291,378.0387013835728,7.414916361259962,0.0
10.629424972732933,5.213218784083834,1303.3046960209583,32.81904390224113,0.0
11.0,9.586213929370253,2396.553482342563,42.03938877322785,0.0
1.1412431718807818,22.917135682247338,5729.283920561836,73.56308281756763,0.04708105729359391
6.1845347797636645,11.202945756235492,2800.736439058873,88.82282961082507,0.0
7.060474670334152,9.060474670334152,2265.118667583538,38.77213601650368,0.0
2.0,2.0,500.0,4.0,1.0
2.0,1.0,250.0,2.0,0.0
3.108075680334151,3.0,750.0,15.108075680334151,0.5540378401670755
11.0,3.0,750.0,25.041484776656542,0.0
2.0,43.36013206429893,10840.033016074733,90.32158477158714,0.6398679357010714
38.29004278913092,1.0,250.0,38.29004278913092,0.0
15.240252722109405,4.0,1000.0,28.759747277890597,0.0
11.0,5.0,1250.0,35.298312510525214,0.14915625526260679
12.586824709347383,8.0,2000.0,50.94211686043508,1.0
2.0,2.0,500.0,10.492671734589376,1.0
20.3112015992765,6.0,1500.0,46.792532267149,0.0
16.0,1.0,250.0,16.0,0.0
2.3632004733624354,5.0,1250.0,35.45280189344974,0.0
21.0,1.0,250.0,21.0,0.0
15.574471532585514,5.0,1250.0,62.978699271901405,0.0
14.0,2.0,500.0,14.0,0.0
13.0,3.0,750.0,15.516027554712373,0.24198622264381342
2.0,4.0,1000.0,16.0,0.0
2.0,2.0,500.0,4.0,0.45472095206903274
3.6726426269803287,5.0,1250.0,23.491036059529506,0.0
3.0550359618119822,2.0,500.0,9.944964038188019,0.0
2.0,43.22358063771494,10805.895159428734,88.68296765257924,0.7764193622850635
9.667556571131376,3.0,750.0,51.427808653315964,0.0
16.0,1.0,250.0,16.0,0.0
15.391858772512862,15.0,3750.0,84.56743509005145,0.0
14.0,1.0,250.0,14.0,0.0
38.628634029121535,1.0,250.0,38.628634029121535,0.0
15.515901885347198,4.0,1000.0,27.515901885347198,0.0
14.0,2.0,500.0,14.0,0.0
21.0,1.0,250.0,21.0,0.0
2.0,2.0,500.0,4.0,0.7273934275632679
4.0,1.0,250.0,4.0,0.0
6.7325068838723485,10.0,2500.0,63.323927588018236,0.0
21.0,3.0,750.0,68.1039936206566,0.0
2.0,4.0,1000.0,16.0,0.0
7.680458812627003,24.0,6000.0,68.31540354358489,0.0
21.0,2.0,500.0,21.11965244352536,0.0
2.0,1.0,250.0,2.0,0.0
2.610879989811314,3.0,750.0,14.610879989811314,0.0
22.984041883068098,3.0,750.0,64.0,0.0
2.0,1.0,250.0,2.0,0.0
7.774743332327358,6.0,1500.0,64.09215148338166,0.0
6.531163214850993,8.0,2000.0,51.4124652859404,0.7062326429701986
16.007016251128622,2.0,500.0,26.98596749774276,0.0
23.27626703880345,6.0,1500.0,67.23732961196549,0.0
2.827143995750369,12.0,3000.0,84.48143198725111,0.0
1.6004913697556564,3.0,750.0,8.00122842438914,0.8002456848778282
4.0,5.0,1250.0,13.82965784895698,1.0
0.4090057988462893,25.18198840230742,6295.497100576856,76.4090057988463,0.5909942011537107
19.844813585814624,2.0,500.0,52.0,0.0
2.0,1.0,250.0,2.0,0.0
10.506185075686206,7.0,1750.0,76.22671044766489,0.0
22.764050224320805,2.0,500.0,37.64607533648121,0.0
21.03725031010494,15.0,3750.0,59.616999586526745,0.0
2.0,3.0,750.0,75.58308354385319,0.7084582280734064
21.709975008343978,3.0,750.0,47.63142143095542,0.0
2.0,1.0,250.0,2.0,0.0
14.941453195611658,3.0,750.0,32.882906391223315,0.0
2.462411465831993,3.0,750.0,24.231205732915996,0.23120573291599644
4.8406955703656065,11.0,2750.0,39.36873431769653,0.6843671588482659
14.0,1.0,250.0,14.0,0.0
2.0,2.0,500.0,2.511756298371699,0.0
14.0,1.0,250.0,14.0,0.0
21.0,1.0,250.0,21.0,0.0
7.141710730614522,8.0,2000.0,51.65668429224581,0.8283421461229045
3.5576128567601595,9.0,2250.0,28.2119357161992,0.7788064283800799
11.854822393393254,7.0,1750.0,63.145177606606744,0.1424703988988758
19.187045855888485,6.0,1500.0,42.27646132563463,0.0
4.9554601203288735,14.0,3500.0,86.0,0.0
16.394346718130272,7.0,1750.0,61.63391969121837,0.39434671813027267
17.860903861272128,2.0,500.0,38.30934616680468,0.4484423055325534
10.05762779398415,17.641602526725833,4410.4006316814575,80.86717978619335,0.0
11.0,1.0,250.0,11.0,0.0
7.2807311831600705,8.0,2000.0,51.71229247326403,0.8561462366320142
21.89426742838862,5.0,1250.0,59.10573257161138,0.0
3.2381632426146387,6.0,1500.0,49.333571349151235,0.0
