raw,target
2.2123897070839265,N
2.21943155413458,P
1.9850303401414866,N
2.2580644101049376,N
0.8274134705238465,P
2.0574627399449223,P
2.2219162578992258,N
2.1263741460084526,N
1.906133231829667,P
2.136916327988463,N
2.24,N
2.2,N
2.23257795674463,N
2.1928166329317627,N
2.2052760180800264,N
2.160337279699171,N
2.2,N
2.107470824332745,N
2.0251127406908904,P
2.0420212184025277,N
2.083735511488368,N
2.0484782124876784,N
2.016440337567398,N
2.074431856611044,N
2.074686106966001,N
2.085600733567907,N
2.1748476001802324,N
2.255943092101004,N
2.259795479602696,N
2.117104431461951,N
2.2345884308969506,N
2.036473111736675,N
2.008460774968995,N
2.151882323380904,N
2.1257902503883694,N
2.113670013936001,N
2.0953471655261433,P
2.242036603525718,N
2.1629062761715137,P
2.1491374760614748,N
2.1195427501664303,N
2.0021857922766544,N
2.236999240341575,N
2.3158092602410445,N
2.2573320328862336,N
1.9483348397706988,P
2.0899937643853694,N
2.0310763359905017,N
1.9767374037169043,N
2.050993145491894,N
2.0368473119202903,P
2.138036617650316,P
1.9547618342731614,N
2.073613671983691,N
2.1026488342537295,N
1.844457330962526,P
2.1455376172176788,P
2.0133051031170037,N
2.1601627139677424,P
1.9888344511132363,P
1.9287884443386167,P
2.2383257818806483,P
2.0930304240695077,N
2.158900733030426,N
2.122498464307272,N
2.1638231070971963,N
1.9469476778846406,N
1.76,N
2.26,N
2.26,N
2.2,N
2.32,N
2.18,P
2.06,P
2.16,N
2.08,N
2.24,N
2.12,N
2.22,N
2.04,P
0.9117854736895812,P
1.92,P
2.26,N
2.24,N
1.92,P
1.8,P
2.2,N
2.1,N
2.08,P
2.0,P
2.24,N
2.0,N
1.9,P
2.0,N
2.0,P
2.24,N
2.16,N
1.96,P
2.26,N
1.98,P
2.0,N
1.96,N
1.92,P
2.2,N
1.96,N
1.96,N
2.12,N
2.06,N
2.0,N
2.1,N
2.0,N
2.2,N
2.18,P
2.0,P
2.16,N
1.92,P
2.26,N
2.12,N
1.92,P
2.16,N
2.24,N
2.18,N
2.22,N
1.98,N
2.16,P
2.18,N
1.96,N
2.2,N
2.24,N
2.26,N
2.08,P
2.2,N
2.1,P
2.24,N
2.16,N
2.08,N
1.6582452076004894,P
2.16,N
2.26,N
1.96,N
1.94,N
1.92,P
1.94,P
1.94,N
2.26,N
2.24,N
2.14,P
2.16,N
2.02,N
2.24,N
2.24,N
2.2,N
2.02,N
1.92,P
2.2,N
2.02,P
1.86,P
2.12,N
2.0,N
1.84,P
2.2,N
1.92,P
2.14,N
1.68,P
2.2,N
2.18,N
1.84,P
2.24,N
2.18,N
2.26,N
2.08,N
2.26,N
2.24,N
1.92,P
2.06,N
2.24,N
2.22,N
2.16,N
2.18,N
1.92,P
2.24,N
2.16,N
2.26,N
1.96,P
1.98,N
2.18,N
2.26,N
1.8,P
1.94,P
1.9,P
2.16,N
2.26,N
2.04,P
2.12,N
2.08,N
2.18,P
2.2,N
2.08,N
2.26,N
2.2,N
1.98,N
2.24,N
2.2,N
1.86,P
1.84,P
2.24,N
2.16,N
2.0,P
2.16,N
2.26,N
2.24,N
2.16,N
1.6642437745673204,P
2.0,P
2.16,N
2.16,P
2.14,N
2.14,N
2.26,N
2.26,N
2.1,N
1.76,N
2.2,N
2.0,P
2.02,P
2.0,N
2.02,N
2.1,P
2.26,N
2.1,N
2.0,N
1.94,P
2.02,N
2.08,N
2.22,N
2.28,N
2.26,N
2.04,N
2.16,N
2.2,N
2.2,N
1.86,P
1.96,N
2.18,N
2.2,N
0.7839035919686863,P
2.18,N
2.14,N
2.0,P
2.2,N
1.88,P
2.18,N
2.0,N
2.18,N
2.02,N
2.18,N
2.26,N
2.04,N
2.1,N
2.2,N
2.0,P
2.22,N
2.14,N
2.14,P
2.12,P
2.02,N
2.0,N
