a,all,also,an,and,any,are,as,at,be,been,but,by,can,do,down,even,every,for,from,had,has,have,her,his,if,in,into,is,it,its,may,more,must,my,no,not,now,of,on,one,only,or,our,should,so,some,such,than,that,the,their,then,there,things,this,to,up,upon,was,were,what,when,which,who,will,with,would,your,BookID,target
25.0,10.0,2.0,4.0,45.0,1.0,4.0,14.0,10.0,13.0,8.0,7.0,13.0,1.0,3.0,1.0,1.0,2.0,10.0,6.0,8.0,3.0,12.0,0.0,2.0,4.0,31.0,4.0,17.0,24.0,1.0,2.0,2.0,1.0,30.0,6.0,17.0,1.0,70.0,14.0,6.0,3.0,9.0,1.0,0.0,6.0,1.0,0.0,4.0,23.0,111.0,4.0,3.0,4.0,0.0,17.0,37.0,2.0,4.0,31.0,8.0,3.0,6.0,5.0,5.0,12.0,7.0,6.0,0.0,2.0,N
35.0,8.0,4.0,0.0,58.0,1.0,0.0,5.0,11.0,6.0,3.0,7.0,6.0,0.0,1.0,3.0,4.0,0.0,18.0,8.0,15.0,0.0,4.0,0.0,9.0,1.0,41.0,3.0,1.0,17.0,0.0,0.0,7.0,2.0,16.0,3.0,16.0,2.0,52.0,14.0,5.0,1.0,5.0,8.0,1.0,15.0,1.0,1.0,4.0,23.0,126.0,3.0,3.0,5.0,0.0,5.0,44.0,2.0,4.0,55.0,18.0,1.0,3.0,9.0,4.0,0.0,14.0,7.0,0.0,2.0,N
38.0,6.0,0.0,3.0,74.0,1.0,0.0,7.0,2.0,6.0,2.0,13.0,11.0,0.0,3.0,1.0,1.0,1.0,16.0,6.0,13.0,0.0,7.0,0.0,12.0,1.0,27.0,2.0,2.0,20.0,1.0,0.0,7.0,2.0,13.0,8.0,19.0,2.0,65.0,8.0,8.0,2.0,2.0,10.0,3.0,10.0,1.0,2.0,5.0,25.0,116.0,2.0,3.0,5.0,1.0,4.0,47.0,2.0,2.0,47.0,19.0,2.0,3.0,3.0,1.0,0.0,27.0,7.0,2.0,2.0,N
40.0,6.0,0.0,5.0,65.0,0.0,1.0,7.0,13.0,5.0,8.0,6.0,11.0,1.0,2.0,0.0,1.0,5.0,13.0,16.0,22.0,1.0,8.0,1.0,12.0,3.0,32.0,4.0,2.0,27.0,1.0,3.0,2.0,0.0,26.0,8.0,16.0,2.0,54.0,10.0,3.0,5.0,1.0,9.0,4.0,15.0,0.0,3.0,3.0,28.0,91.0,1.0,3.0,4.0,1.0,3.0,37.0,6.0,1.0,39.0,6.0,5.0,6.0,1.0,3.0,3.0,14.0,3.0,1.0,2.0,N
32.0,8.0,4.0,2.0,58.0,4.0,0.0,16.0,9.0,3.0,5.0,7.0,10.0,0.0,0.0,0.0,1.0,0.0,17.0,5.0,18.0,0.0,6.0,0.0,1.0,2.0,25.0,3.0,1.0,17.0,0.0,0.0,6.0,0.0,39.0,9.0,14.0,0.0,79.0,15.0,6.0,1.0,2.0,0.0,1.0,11.0,4.0,2.0,7.0,33.0,100.0,2.0,2.0,6.0,1.0,4.0,47.0,2.0,6.0,34.0,10.0,1.0,9.0,10.0,2.0,2.0,13.0,8.0,0.0,2.0,N
41.0,7.0,3.0,3.0,54.0,3.0,0.0,9.0,8.0,5.0,1.0,6.0,11.0,0.0,0.0,0.0,3.0,1.0,21.0,8.0,18.0,0.0,3.0,0.0,2.0,1.0,39.0,0.0,1.0,20.0,2.0,0.0,3.0,0.0,52.0,6.0,8.0,2.0,99.0,14.0,4.0,2.0,4.0,0.0,4.0,9.0,2.0,2.0,3.0,25.0,114.0,1.0,1.0,3.0,3.0,11.0,43.0,4.0,2.0,34.0,8.0,0.0,4.0,17.0,1.0,2.0,21.0,1.0,0.0,2.0,N
39.0,6.0,2.0,10.0,53.0,3.0,1.0,13.0,11.0,7.0,7.0,5.0,16.0,2.0,0.0,1.0,1.0,3.0,12.0,5.0,18.0,0.0,9.0,0.0,9.0,3.0,37.0,4.0,9.0,17.0,5.0,0.0,3.0,4.0,21.0,2.0,5.0,3.0,69.0,13.0,5.0,0.0,4.0,3.0,1.0,7.0,1.0,5.0,3.0,27.0,119.0,8.0,0.0,5.0,0.0,14.0,52.0,2.0,2.0,25.0,8.0,5.0,5.0,6.0,3.0,2.0,9.0,2.0,0.0,2.0,N
27.0,9.0,0.0,6.0,58.0,1.0,4.0,15.0,6.0,6.0,7.0,14.0,12.0,2.0,5.0,2.0,1.0,1.0,9.0,5.0,6.0,2.0,12.0,0.0,22.0,1.0,30.0,6.0,17.0,23.0,1.0,0.0,1.0,8.0,24.0,4.0,8.0,3.0,41.0,14.0,4.0,3.0,1.0,1.0,0.0,8.0,2.0,2.0,2.0,30.0,88.0,1.0,1.0,1.0,1.0,11.0,44.0,4.0,1.0,38.0,4.0,3.0,3.0,2.0,1.0,10.0,18.0,3.0,12.0,2.0,N
22.0,12.0,1.0,2.0,80.0,1.0,6.0,11.0,1.0,1.0,3.0,4.0,4.0,0.0,2.0,0.0,3.0,0.0,5.0,7.0,3.0,1.0,28.0,0.0,4.0,1.0,49.0,2.0,11.0,24.0,2.0,0.0,1.0,1.0,22.0,1.0,8.0,3.0,69.0,19.0,8.0,6.0,2.0,25.0,2.0,3.0,0.0,0.0,1.0,37.0,112.0,1.0,1.0,4.0,1.0,3.0,28.0,1.0,1.0,19.0,6.0,6.0,10.0,3.0,3.0,0.0,9.0,0.0,7.0,2.0,N
22.0,16.0,1.0,1.0,111.0,0.0,5.0,11.0,4.0,2.0,2.0,3.0,9.0,1.0,3.0,2.0,2.0,0.0,17.0,7.0,4.0,3.0,17.0,34.0,13.0,0.0,42.0,3.0,22.0,6.0,0.0,0.0,4.0,1.0,15.0,7.0,7.0,3.0,60.0,2.0,3.0,3.0,8.0,8.0,0.0,5.0,0.0,2.0,5.0,33.0,119.0,1.0,1.0,4.0,3.0,5.0,30.0,1.0,2.0,23.0,4.0,2.0,3.0,2.0,8.0,1.0,15.0,1.0,0.0,2.0,N
13.0,5.0,2.0,2.0,131.0,0.0,0.0,10.0,9.0,1.0,3.0,8.0,9.0,0.0,0.0,3.0,0.0,0.0,16.0,20.0,8.0,3.0,5.0,29.0,2.0,0.0,44.0,4.0,2.0,11.0,1.0,0.0,1.0,0.0,19.0,2.0,5.0,1.0,53.0,5.0,1.0,1.0,3.0,5.0,2.0,4.0,0.0,0.0,0.0,17.0,182.0,9.0,0.0,5.0,1.0,2.0,33.0,1.0,4.0,27.0,12.0,2.0,14.0,0.0,4.0,2.0,15.0,2.0,0.0,2.0,N
19.0,7.0,2.0,2.0,107.0,1.0,0.0,4.0,10.0,1.0,3.0,10.0,5.0,1.0,2.0,3.0,1.0,0.0,16.0,8.0,20.0,0.0,7.0,7.0,9.0,2.0,32.0,3.0,1.0,17.0,5.0,0.0,5.0,0.0,18.0,4.0,9.0,1.0,68.0,15.0,8.0,2.0,3.0,26.0,4.0,7.0,1.0,1.0,0.0,31.0,148.0,5.0,1.0,12.0,0.0,2.0,27.0,2.0,1.0,39.0,19.0,0.0,15.0,1.0,6.0,0.0,10.0,7.0,0.0,2.0,N
17.0,15.0,2.0,1.0,102.0,0.0,4.0,11.0,8.0,7.0,5.0,6.0,8.0,2.0,1.0,1.0,3.0,0.0,21.0,5.0,5.0,11.0,9.0,26.0,1.0,1.0,38.0,3.0,15.0,9.0,1.0,0.0,1.0,1.0,23.0,2.0,2.0,1.0,74.0,11.0,5.0,0.0,5.0,14.0,1.0,6.0,1.0,1.0,3.0,27.0,166.0,4.0,0.0,3.0,1.0,4.0,22.0,0.0,1.0,40.0,4.0,0.0,9.0,3.0,6.0,7.0,5.0,0.0,0.0,2.0,N
47.0,8.0,1.0,5.0,48.0,1.0,2.0,7.0,10.0,9.0,4.0,7.0,11.0,2.0,2.0,2.0,2.0,1.0,19.0,4.0,21.0,7.0,8.0,0.0,11.0,3.0,29.0,2.0,20.0,29.0,1.0,0.0,1.0,2.0,30.0,3.0,7.0,1.0,46.0,19.0,11.0,2.0,0.0,1.0,4.0,14.0,1.0,3.0,3.0,32.0,93.0,1.0,3.0,3.0,0.0,7.0,43.0,7.0,2.0,32.0,5.0,2.0,6.0,7.0,6.0,4.0,10.0,3.0,0.0,2.0,N
47.0,6.0,1.0,6.0,68.0,0.0,0.0,3.0,16.0,5.0,6.0,15.0,9.0,1.0,2.0,4.0,3.0,1.0,15.0,9.0,18.0,2.0,1.0,0.0,37.0,1.0,29.0,10.0,1.0,10.0,2.0,0.0,3.0,0.0,0.0,2.0,12.0,0.0,47.0,11.0,7.0,2.0,9.0,0.0,0.0,5.0,1.0,0.0,1.0,16.0,132.0,3.0,4.0,7.0,2.0,5.0,27.0,4.0,0.0,35.0,13.0,4.0,4.0,5.0,4.0,0.0,12.0,1.0,1.0,3.0,N
44.0,8.0,1.0,8.0,95.0,1.0,0.0,13.0,18.0,5.0,2.0,9.0,10.0,1.0,1.0,2.0,0.0,0.0,17.0,8.0,16.0,0.0,1.0,0.0,29.0,0.0,29.0,7.0,1.0,13.0,2.0,0.0,4.0,0.0,1.0,6.0,10.0,4.0,41.0,14.0,10.0,0.0,1.0,1.0,0.0,5.0,2.0,1.0,0.0,25.0,128.0,2.0,2.0,3.0,0.0,4.0,24.0,1.0,5.0,46.0,5.0,0.0,8.0,5.0,3.0,0.0,15.0,6.0,1.0,3.0,N
34.0,4.0,1.0,9.0,89.0,1.0,0.0,17.0,9.0,7.0,2.0,10.0,8.0,0.0,1.0,6.0,3.0,2.0,7.0,9.0,13.0,0.0,1.0,8.0,33.0,1.0,17.0,9.0,1.0,18.0,0.0,0.0,6.0,0.0,0.0,8.0,11.0,1.0,38.0,10.0,9.0,3.0,3.0,0.0,1.0,6.0,2.0,1.0,1.0,19.0,79.0,4.0,2.0,6.0,1.0,6.0,48.0,2.0,7.0,56.0,11.0,1.0,9.0,4.0,6.0,1.0,20.0,4.0,0.0,3.0,N
33.0,9.0,0.0,5.0,89.0,0.0,0.0,12.0,6.0,4.0,3.0,12.0,7.0,0.0,2.0,3.0,3.0,1.0,19.0,7.0,12.0,0.0,3.0,0.0,42.0,0.0,26.0,6.0,0.0,21.0,0.0,0.0,3.0,0.0,0.0,6.0,12.0,1.0,51.0,5.0,1.0,2.0,7.0,0.0,1.0,7.0,0.0,2.0,2.0,15.0,115.0,5.0,2.0,4.0,2.0,2.0,41.0,6.0,0.0,49.0,9.0,2.0,6.0,10.0,1.0,1.0,14.0,3.0,0.0,3.0,N
38.0,3.0,0.0,7.0,80.0,0.0,0.0,8.0,12.0,2.0,3.0,9.0,9.0,0.0,0.0,4.0,2.0,1.0,12.0,8.0,21.0,0.0,3.0,0.0,33.0,0.0,30.0,6.0,1.0,21.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,1.0,49.0,11.0,3.0,7.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,10.0,129.0,14.0,2.0,4.0,0.0,4.0,40.0,0.0,8.0,39.0,15.0,2.0,7.0,7.0,3.0,0.0,17.0,2.0,0.0,3.0,N
26.0,15.0,1.0,3.0,85.0,2.0,1.0,10.0,13.0,0.0,4.0,9.0,14.0,0.0,0.0,5.0,1.0,3.0,15.0,6.0,11.0,0.0,2.0,4.0,31.0,1.0,25.0,8.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,2.0,8.0,0.0,35.0,13.0,12.0,0.0,3.0,0.0,3.0,8.0,2.0,0.0,2.0,21.0,116.0,2.0,5.0,3.0,2.0,9.0,35.0,11.0,7.0,45.0,12.0,1.0,3.0,8.0,4.0,0.0,15.0,2.0,0.0,3.0,N
33.0,6.0,1.0,3.0,83.0,0.0,0.0,14.0,11.0,3.0,3.0,9.0,13.0,0.0,0.0,9.0,2.0,2.0,8.0,6.0,13.0,0.0,1.0,0.0,24.0,1.0,38.0,6.0,5.0,28.0,2.0,1.0,5.0,0.0,0.0,2.0,13.0,1.0,66.0,6.0,6.0,3.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,20.0,140.0,4.0,2.0,3.0,3.0,10.0,35.0,10.0,1.0,44.0,11.0,0.0,4.0,8.0,1.0,0.0,12.0,1.0,0.0,3.0,N
18.0,4.0,0.0,7.0,84.0,0.0,0.0,18.0,14.0,2.0,1.0,15.0,11.0,0.0,1.0,9.0,1.0,2.0,17.0,2.0,12.0,1.0,3.0,0.0,28.0,1.0,35.0,2.0,0.0,13.0,2.0,0.0,8.0,0.0,0.0,6.0,10.0,3.0,34.0,10.0,7.0,2.0,2.0,0.0,1.0,4.0,1.0,1.0,2.0,12.0,103.0,7.0,5.0,5.0,0.0,3.0,44.0,10.0,4.0,47.0,7.0,2.0,5.0,2.0,7.0,0.0,17.0,3.0,0.0,3.0,N
23.0,5.0,2.0,2.0,89.0,0.0,0.0,8.0,11.0,1.0,1.0,14.0,10.0,0.0,1.0,7.0,0.0,1.0,10.0,8.0,15.0,0.0,1.0,0.0,43.0,0.0,29.0,4.0,0.0,19.0,1.0,0.0,3.0,0.0,0.0,5.0,9.0,1.0,43.0,10.0,4.0,0.0,11.0,0.0,3.0,7.0,3.0,2.0,3.0,13.0,132.0,7.0,3.0,7.0,3.0,7.0,34.0,5.0,2.0,40.0,16.0,0.0,7.0,7.0,3.0,1.0,21.0,5.0,0.0,3.0,N
36.0,8.0,2.0,6.0,69.0,2.0,1.0,13.0,10.0,5.0,4.0,14.0,4.0,2.0,1.0,6.0,0.0,4.0,10.0,8.0,16.0,0.0,2.0,12.0,25.0,2.0,18.0,4.0,5.0,21.0,0.0,0.0,4.0,1.0,0.0,4.0,6.0,3.0,53.0,17.0,13.0,0.0,3.0,1.0,4.0,2.0,0.0,1.0,2.0,16.0,116.0,7.0,3.0,6.0,1.0,2.0,26.0,5.0,2.0,26.0,17.0,3.0,7.0,6.0,4.0,0.0,17.0,3.0,2.0,3.0,N
30.0,8.0,1.0,2.0,83.0,1.0,0.0,9.0,5.0,4.0,3.0,13.0,11.0,0.0,7.0,1.0,2.0,1.0,9.0,6.0,13.0,0.0,1.0,14.0,11.0,1.0,29.0,2.0,3.0,18.0,4.0,0.0,5.0,0.0,0.0,7.0,22.0,0.0,39.0,15.0,6.0,5.0,5.0,0.0,5.0,9.0,2.0,2.0,3.0,22.0,124.0,16.0,1.0,3.0,2.0,6.0,47.0,4.0,6.0,34.0,22.0,3.0,5.0,5.0,3.0,0.0,16.0,3.0,0.0,3.0,N
22.0,10.0,0.0,1.0,82.0,1.0,1.0,11.0,10.0,2.0,4.0,9.0,6.0,0.0,1.0,11.0,0.0,2.0,7.0,11.0,26.0,0.0,1.0,9.0,22.0,0.0,26.0,11.0,0.0,30.0,2.0,0.0,4.0,1.0,1.0,6.0,13.0,2.0,46.0,20.0,4.0,3.0,8.0,0.0,0.0,8.0,0.0,0.0,1.0,18.0,120.0,9.0,1.0,7.0,6.0,7.0,42.0,11.0,4.0,33.0,13.0,3.0,10.0,6.0,2.0,0.0,13.0,2.0,0.0,3.0,N
37.0,4.0,0.0,3.0,77.0,2.0,0.0,19.0,11.0,9.0,1.0,9.0,7.0,1.0,0.0,5.0,2.0,1.0,17.0,10.0,19.0,1.0,1.0,5.0,52.0,2.0,21.0,6.0,0.0,17.0,2.0,0.0,3.0,2.0,2.0,8.0,8.0,0.0,47.0,4.0,2.0,0.0,14.0,0.0,0.0,5.0,2.0,3.0,3.0,18.0,89.0,2.0,3.0,1.0,1.0,7.0,46.0,6.0,4.0,36.0,9.0,1.0,4.0,7.0,5.0,0.0,19.0,12.0,0.0,3.0,N
39.0,3.0,0.0,5.0,84.0,0.0,0.0,20.0,7.0,3.0,2.0,12.0,10.0,0.0,2.0,9.0,0.0,2.0,9.0,10.0,11.0,0.0,0.0,0.0,32.0,0.0,25.0,9.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,46.0,20.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,11.0,140.0,1.0,3.0,0.0,0.0,5.0,28.0,7.0,6.0,39.0,10.0,1.0,9.0,6.0,1.0,0.0,20.0,2.0,0.0,3.0,N
50.0,2.0,0.0,3.0,68.0,0.0,0.0,13.0,6.0,1.0,5.0,7.0,4.0,3.0,3.0,6.0,1.0,2.0,13.0,5.0,17.0,1.0,1.0,0.0,32.0,1.0,29.0,6.0,3.0,27.0,1.0,0.0,2.0,2.0,0.0,3.0,10.0,5.0,51.0,5.0,11.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,18.0,112.0,7.0,2.0,2.0,1.0,3.0,40.0,8.0,2.0,34.0,10.0,5.0,1.0,4.0,3.0,1.0,20.0,1.0,0.0,3.0,N
30.0,5.0,0.0,5.0,96.0,3.0,0.0,27.0,10.0,3.0,3.0,6.0,8.0,2.0,3.0,3.0,0.0,2.0,18.0,6.0,12.0,0.0,0.0,0.0,14.0,3.0,33.0,11.0,0.0,21.0,2.0,1.0,5.0,0.0,0.0,7.0,5.0,2.0,45.0,18.0,3.0,1.0,8.0,0.0,0.0,2.0,0.0,1.0,1.0,11.0,144.0,3.0,1.0,6.0,1.0,6.0,37.0,6.0,6.0,17.0,10.0,1.0,4.0,5.0,4.0,0.0,13.0,10.0,0.0,3.0,N
42.0,6.0,0.0,3.0,83.0,2.0,0.0,16.0,14.0,0.0,1.0,13.0,9.0,0.0,0.0,7.0,2.0,4.0,14.0,11.0,7.0,0.0,2.0,0.0,36.0,1.0,35.0,9.0,0.0,19.0,4.0,0.0,5.0,0.0,0.0,5.0,5.0,1.0,45.0,13.0,2.0,2.0,5.0,0.0,0.0,5.0,1.0,1.0,5.0,18.0,111.0,2.0,3.0,3.0,1.0,5.0,31.0,1.0,5.0,38.0,8.0,1.0,6.0,6.0,2.0,0.0,10.0,4.0,0.0,3.0,N
46.0,1.0,0.0,3.0,66.0,0.0,0.0,15.0,16.0,1.0,3.0,6.0,5.0,0.0,0.0,5.0,1.0,2.0,12.0,9.0,14.0,0.0,1.0,0.0,28.0,1.0,36.0,6.0,2.0,26.0,8.0,0.0,8.0,0.0,0.0,3.0,10.0,0.0,58.0,17.0,5.0,2.0,6.0,0.0,0.0,3.0,2.0,4.0,3.0,16.0,138.0,8.0,3.0,4.0,2.0,5.0,32.0,1.0,10.0,26.0,10.0,1.0,5.0,13.0,1.0,0.0,21.0,4.0,0.0,3.0,N
30.0,7.0,3.0,0.0,75.0,2.0,0.0,7.0,10.0,4.0,1.0,16.0,5.0,0.0,2.0,4.0,0.0,0.0,13.0,7.0,19.0,0.0,3.0,4.0,29.0,3.0,21.0,5.0,2.0,13.0,1.0,0.0,1.0,2.0,1.0,6.0,12.0,4.0,61.0,16.0,18.0,2.0,4.0,14.0,0.0,8.0,6.0,1.0,0.0,20.0,113.0,14.0,4.0,8.0,1.0,1.0,27.0,5.0,0.0,33.0,20.0,2.0,8.0,5.0,4.0,1.0,11.0,10.0,1.0,4.0,N
39.0,17.0,4.0,0.0,118.0,1.0,0.0,6.0,3.0,5.0,3.0,8.0,0.0,0.0,3.0,1.0,0.0,3.0,18.0,5.0,22.0,0.0,2.0,0.0,14.0,1.0,33.0,1.0,1.0,24.0,0.0,0.0,9.0,1.0,3.0,9.0,7.0,0.0,57.0,7.0,8.0,3.0,3.0,1.0,2.0,8.0,1.0,1.0,7.0,23.0,122.0,12.0,5.0,12.0,6.0,5.0,40.0,5.0,2.0,45.0,16.0,2.0,9.0,4.0,14.0,1.0,15.0,8.0,0.0,4.0,N
31.0,13.0,4.0,0.0,139.0,2.0,0.0,5.0,4.0,15.0,0.0,12.0,7.0,0.0,2.0,0.0,0.0,4.0,23.0,4.0,11.0,0.0,6.0,0.0,14.0,2.0,20.0,3.0,1.0,22.0,0.0,0.0,14.0,0.0,2.0,8.0,11.0,1.0,34.0,6.0,3.0,6.0,4.0,1.0,7.0,18.0,1.0,2.0,4.0,27.0,102.0,3.0,3.0,12.0,1.0,3.0,53.0,3.0,0.0,36.0,21.0,5.0,13.0,1.0,10.0,1.0,16.0,5.0,0.0,4.0,N
22.0,25.0,2.0,3.0,116.0,0.0,8.0,9.0,4.0,18.0,1.0,9.0,5.0,0.0,2.0,1.0,0.0,0.0,4.0,5.0,10.0,0.0,3.0,0.0,11.0,3.0,24.0,1.0,5.0,14.0,1.0,0.0,11.0,0.0,2.0,18.0,17.0,3.0,61.0,6.0,3.0,3.0,0.0,5.0,2.0,5.0,2.0,0.0,3.0,33.0,147.0,12.0,8.0,11.0,0.0,1.0,43.0,5.0,1.0,36.0,21.0,1.0,6.0,3.0,21.0,22.0,13.0,6.0,0.0,4.0,N
52.0,4.0,1.0,7.0,90.0,4.0,0.0,20.0,13.0,8.0,4.0,16.0,6.0,1.0,4.0,6.0,0.0,0.0,13.0,5.0,12.0,0.0,2.0,1.0,38.0,0.0,31.0,7.0,2.0,17.0,1.0,0.0,5.0,0.0,0.0,3.0,9.0,0.0,42.0,14.0,7.0,4.0,4.0,1.0,0.0,6.0,1.0,1.0,4.0,15.0,87.0,8.0,0.0,6.0,2.0,2.0,45.0,3.0,0.0,55.0,5.0,0.0,7.0,5.0,5.0,0.0,11.0,5.0,0.0,4.0,N
39.0,7.0,1.0,6.0,73.0,0.0,0.0,12.0,14.0,6.0,6.0,12.0,5.0,0.0,0.0,5.0,1.0,0.0,10.0,9.0,27.0,0.0,3.0,13.0,41.0,2.0,27.0,3.0,0.0,23.0,1.0,1.0,0.0,0.0,2.0,4.0,8.0,3.0,42.0,9.0,2.0,3.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,27.0,97.0,2.0,2.0,4.0,1.0,7.0,53.0,4.0,1.0,54.0,5.0,5.0,9.0,3.0,4.0,0.0,14.0,3.0,1.0,4.0,N
42.0,4.0,0.0,8.0,78.0,0.0,1.0,11.0,21.0,6.0,7.0,11.0,6.0,0.0,0.0,11.0,2.0,1.0,8.0,14.0,20.0,0.0,4.0,15.0,27.0,5.0,27.0,1.0,0.0,14.0,1.0,0.0,6.0,2.0,0.0,1.0,8.0,0.0,50.0,22.0,10.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,15.0,146.0,2.0,1.0,1.0,0.0,3.0,47.0,5.0,1.0,39.0,11.0,3.0,3.0,2.0,3.0,0.0,18.0,8.0,0.0,4.0,N
37.0,4.0,0.0,5.0,79.0,1.0,0.0,4.0,4.0,1.0,4.0,14.0,6.0,0.0,0.0,6.0,0.0,1.0,9.0,5.0,17.0,0.0,2.0,11.0,14.0,1.0,31.0,5.0,3.0,18.0,6.0,0.0,4.0,1.0,0.0,8.0,3.0,1.0,61.0,25.0,5.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,167.0,8.0,1.0,7.0,0.0,7.0,33.0,5.0,2.0,41.0,14.0,2.0,3.0,3.0,5.0,1.0,9.0,2.0,1.0,4.0,N
27.0,10.0,0.0,4.0,75.0,1.0,0.0,5.0,8.0,5.0,11.0,12.0,13.0,0.0,0.0,4.0,0.0,2.0,8.0,6.0,28.0,0.0,1.0,30.0,1.0,1.0,31.0,7.0,1.0,10.0,1.0,0.0,2.0,1.0,0.0,8.0,12.0,4.0,81.0,10.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,4.0,19.0,150.0,6.0,2.0,4.0,0.0,3.0,41.0,1.0,4.0,42.0,14.0,1.0,3.0,3.0,0.0,2.0,14.0,1.0,0.0,4.0,N
35.0,22.0,1.0,6.0,58.0,4.0,2.0,7.0,8.0,9.0,5.0,16.0,14.0,1.0,2.0,3.0,2.0,3.0,12.0,5.0,9.0,0.0,9.0,16.0,4.0,1.0,34.0,3.0,4.0,20.0,3.0,1.0,1.0,3.0,0.0,5.0,15.0,0.0,66.0,12.0,3.0,2.0,3.0,8.0,0.0,5.0,2.0,0.0,0.0,30.0,116.0,8.0,3.0,14.0,0.0,7.0,31.0,7.0,2.0,56.0,19.0,5.0,0.0,2.0,4.0,3.0,14.0,9.0,4.0,4.0,N
23.0,15.0,1.0,2.0,81.0,1.0,1.0,6.0,3.0,2.0,8.0,13.0,11.0,0.0,2.0,4.0,1.0,2.0,11.0,13.0,14.0,2.0,7.0,4.0,7.0,1.0,34.0,1.0,2.0,18.0,0.0,0.0,2.0,0.0,0.0,5.0,9.0,0.0,79.0,8.0,7.0,0.0,2.0,0.0,0.0,5.0,2.0,2.0,1.0,21.0,175.0,9.0,3.0,4.0,0.0,4.0,26.0,0.0,4.0,42.0,20.0,1.0,2.0,2.0,11.0,1.0,9.0,4.0,0.0,4.0,N
34.0,4.0,2.0,6.0,76.0,2.0,0.0,11.0,19.0,7.0,4.0,13.0,4.0,2.0,0.0,0.0,1.0,0.0,17.0,9.0,14.0,0.0,4.0,8.0,41.0,0.0,43.0,4.0,7.0,24.0,0.0,0.0,3.0,3.0,0.0,6.0,11.0,2.0,49.0,8.0,8.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,4.0,21.0,119.0,2.0,1.0,1.0,1.0,4.0,37.0,2.0,3.0,40.0,2.0,0.0,5.0,3.0,4.0,0.0,7.0,3.0,0.0,4.0,N
43.0,7.0,1.0,9.0,44.0,0.0,0.0,9.0,5.0,3.0,12.0,11.0,13.0,1.0,1.0,1.0,0.0,2.0,14.0,8.0,23.0,0.0,1.0,7.0,37.0,1.0,44.0,0.0,7.0,16.0,1.0,0.0,4.0,0.0,0.0,2.0,13.0,2.0,69.0,17.0,6.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,30.0,146.0,5.0,3.0,3.0,1.0,4.0,33.0,6.0,3.0,54.0,8.0,2.0,2.0,2.0,3.0,0.0,10.0,0.0,0.0,4.0,N
41.0,10.0,1.0,4.0,47.0,3.0,0.0,8.0,21.0,2.0,7.0,16.0,12.0,0.0,0.0,2.0,2.0,0.0,6.0,10.0,22.0,1.0,0.0,2.0,25.0,2.0,36.0,6.0,3.0,34.0,0.0,0.0,2.0,0.0,0.0,8.0,11.0,1.0,63.0,21.0,7.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,33.0,158.0,3.0,2.0,5.0,0.0,7.0,25.0,9.0,2.0,66.0,8.0,2.0,3.0,3.0,1.0,1.0,9.0,0.0,0.0,4.0,N
29.0,8.0,3.0,8.0,56.0,1.0,4.0,8.0,10.0,8.0,5.0,15.0,8.0,3.0,3.0,2.0,4.0,2.0,13.0,4.0,16.0,4.0,4.0,4.0,7.0,2.0,24.0,2.0,3.0,28.0,1.0,3.0,2.0,1.0,10.0,13.0,10.0,2.0,56.0,9.0,7.0,5.0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,26.0,123.0,2.0,1.0,8.0,0.0,6.0,36.0,3.0,1.0,56.0,9.0,5.0,6.0,3.0,1.0,1.0,7.0,6.0,2.0,4.0,N
33.0,16.0,0.0,0.0,62.0,1.0,7.0,14.0,6.0,6.0,7.0,9.0,5.0,4.0,7.0,10.0,1.0,2.0,18.0,5.0,11.0,1.0,7.0,1.0,9.0,5.0,26.0,4.0,16.0,30.0,2.0,2.0,2.0,0.0,4.0,14.0,10.0,4.0,45.0,13.0,3.0,1.0,5.0,1.0,2.0,4.0,0.0,0.0,2.0,22.0,110.0,1.0,2.0,5.0,4.0,7.0,25.0,4.0,0.0,28.0,9.0,6.0,0.0,2.0,1.0,1.0,8.0,2.0,12.0,4.0,N
35.0,8.0,2.0,3.0,61.0,1.0,2.0,13.0,6.0,4.0,8.0,19.0,11.0,0.0,4.0,5.0,2.0,2.0,18.0,7.0,25.0,0.0,1.0,1.0,3.0,2.0,30.0,2.0,2.0,20.0,3.0,0.0,7.0,1.0,8.0,5.0,16.0,2.0,51.0,12.0,4.0,2.0,3.0,6.0,0.0,4.0,0.0,2.0,2.0,21.0,140.0,2.0,2.0,10.0,1.0,6.0,36.0,7.0,1.0,38.0,24.0,6.0,4.0,2.0,3.0,0.0,13.0,3.0,0.0,4.0,N
