MonthsSinceLastDonation,NumberOfDonations,TotalBloodDonated,MonthsSinceFirstDonation,target
2.0,6.0,1500.0,22.0,No
2.0,1.0,250.0,2.0,No
2.0,44.0,11000.0,98.0,No
11.0,3.0,750.0,76.0,No
21.0,6.0,1500.0,86.0,No
14.0,18.0,4500.0,78.0,No
4.0,8.0,2000.0,21.0,No
4.0,1.0,250.0,4.0,No
2.0,2.0,500.0,4.0,No
4.0,7.0,1750.0,28.0,No
21.0,1.0,250.0,21.0,No
23.0,7.0,1750.0,88.0,No
4.0,6.0,1500.0,30.0,No
4.0,7.0,1750.0,62.0,No
14.0,3.0,750.0,26.0,No
14.0,3.0,750.0,21.0,No
1.0,16.0,4000.0,35.0,Yes
,,,,No
,,,,No
,,,,No
,,,,No
,,,,Yes
,,,,Yes
,,,,No
,,,,No
,,,,Yes
,,,,No
,,,,No
,,,,No
,,,,Yes
,,,,Yes
,,,,No
,,,,No
,,,,No
,,,,Yes
,,,,No
,,,,No
,,,,Yes
,,,,No
,,,,No
,,,,No
,,,,Yes
,,,,No
,,,,Yes
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,Yes
,,,,No
,,,,Yes
,,,,Yes
,,,,No
,,,,No
,,,,Yes
,,,,Yes
,,,,Yes
,,,,No
,,,,Yes
,,,,No
,,,,No
,,,,Yes
,,,,Yes
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,Yes
,,,,No
,,,,No
,,,,Yes
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,Yes
,,,,Yes
,,,,Yes
,,,,No
,,,,No
3.015971805496842,1.4515430246652632,362.8857561663158,6.402544490486316,No
8.53375481134485,11.444795676120707,2861.1989190301765,50.86814183970697,No
2.129183720488798,1.0,250.0,2.129183720488798,Yes
5.375338865523324,8.99969878620149,2249.924696550372,35.37383279653077,Yes
2.0,8.117099706019243,2029.2749265048108,25.893120441636032,Yes
9.679850672372947,3.434221716731263,858.5554291828158,50.250212617894,No
17.76572265110387,8.23427734889613,2058.5693372240326,94.29716795331161,No
1.9058035705030778,8.565178576981532,2141.294644245383,42.14843751619614,No
2.0,4.748134417123729,1187.0336042809322,35.73320975411356,Yes
2.380390094199165,4.429414858701253,1107.353714675313,15.429414858701252,No
15.673080939389125,9.326919060610875,2331.7297651527183,46.979007834726495,No
3.4873994944206266,10.49579983147354,2623.9499578683854,69.45379814620895,No
20.49353049786387,2.973343710413888,743.335927603472,34.333592760347194,No
13.388625659641178,1.0,250.0,13.388625659641178,No
18.762728331088802,3.789817335128957,947.4543337822391,28.36945200538687,No
4.0,3.6910113754631935,922.7528438657982,40.43820475833748,No
12.729212898300522,14.475055477960627,3618.763869490157,61.61280512878345,Yes
3.5706284715362804,6.711885414608841,1677.9713536522104,18.63845659344954,No
6.802634303461213,9.134504134871651,2283.6260337179124,36.60087810115374,Yes
3.7310333766720114,4.867084840605088,1216.7712101512723,14.658303187898223,Yes
9.570143209467798,6.429856790532202,1607.4641976330506,43.10252181301581,Yes
2.0,2.0,500.0,12.398906289159761,No
13.69463287931188,3.61577214655198,903.943036637995,38.270974659483905,No
4.7706648678577634,3.7706648678577634,942.6662169644409,18.821893840564993,No
2.960690660527103,4.078618678945794,1019.6546697364486,9.716201367100934,Yes
4.132077632663561,5.526204970519209,1381.5512426298021,34.31867076650058,No
9.34585334708572,7.940705160736499,1985.1762901841248,43.02173479800635,No
11.216247361973208,3.544803048109493,886.2007620273735,23.574671746849155,No
3.3703110671018175,9.110933201305452,2277.733300326363,58.479643080156336,No
5.211007965758296,6.7450509545772,1686.2627386443,33.0197961816912,Yes
11.0,5.023389561118334,1255.8473902795834,35.14033736671,No
11.363364798909949,5.057530610985285,1264.3826527463214,28.60786989559741,No
12.993277384521978,6.395966430713187,1598.9916076782968,42.671092753444505,No
4.897592807867012,10.845952104170983,2711.4880260427462,31.69190420834197,Yes
14.00316856203501,6.1426308169974995,1535.6577042493748,80.42947673201,No
13.429416665992903,9.975486111672582,2493.8715279181456,51.521555557352265,No
5.0587270142477685,10.9466118052293,2736.6529513073256,74.68500965085289,No
9.342537407643245,4.263349958952554,1065.8374897381384,15.053399835810215,No
3.253957775110532,6.835971850073689,1708.9929625184218,33.732739613181614,No
3.2051172828411048,11.732196159368643,2933.0490398421607,65.31343278895126,No
13.444692033463486,3.0555307966536516,763.8826991634129,18.944469203346348,Yes
2.0,9.98460041992822,2496.150104982055,43.207651154802605,Yes
10.085086792728266,3.1124690025970474,778.1172506492619,16.0,No
2.488303695791965,11.535088912624104,2883.7722281560264,55.002941080945504,Yes
8.120940156376312,2.0201566927293855,505.0391731823463,18.832585430034854,No
1.167300048478686,3.955063676028016,988.765919007004,9.730382056168095,No
3.3880798284726907,7.917880257290964,1979.470064322741,32.34304205832771,No
2.683251170540328,12.021017167924812,3005.2542919812026,25.40853667693028,Yes
2.0,7.629344716021141,1907.336179005285,35.0,Yes
6.019872722113778,5.019872722113778,1254.9681805284445,24.887439977300623,Yes
12.676247512057643,1.11031270732853,277.5781768321325,13.66906187801441,No
6.25794769565025,13.277384308695076,3319.346077173769,77.31625753478473,No
8.351584082709014,3.567363927629613,891.8409819074033,16.350507700179826,Yes
7.879572389651929,5.619664020440801,1404.9160051102003,22.15853390737804,No
2.0,11.450447360247344,2862.6118400618357,30.890462585809917,No
9.310446201922838,2.7586351717032622,689.6587929258156,29.758215192308647,No
18.856021433143923,6.785994641714019,1696.498660428505,48.107002679142994,Yes
19.458166370234288,6.505976232823674,1626.4940582059182,49.89110358396217,No
18.046328735436653,1.0,250.0,18.046328735436653,No
10.29667514788117,1.7033248521188296,425.83121302970744,12.054987278178245,No
3.121039484881262,14.045389806830475,3511.3474517076183,35.665717166846946,No
4.182950007898569,4.274425011847852,1068.606252961963,6.6985126165038835,Yes
0.7695620790981883,17.919598169469023,4479.899542367256,56.76094802254529,No
2.0,5.36205963404872,1340.5149085121802,31.82764219570768,Yes
13.171330722179414,2.0,500.0,20.337064577743533,No
4.0,4.781299618632236,1195.324904658059,31.981617177878547,No
11.760239193443192,5.2397608065568075,1309.940201639202,51.613990775077184,No
15.836556967328878,3.5490329098013365,887.2582274503342,41.77785315554091,No
3.6338201342902057,17.253651007176547,4313.412751794136,67.90146040287063,No
4.3686414625170435,12.631358537482956,3157.839634370739,38.9348442047365,No
4.0,16.77131119773679,4192.827799434197,72.2286888022632,No
21.540216823332212,1.0,250.0,21.540216823332212,No
6.315857773541687,4.661673649583339,1165.4184123958348,11.6092469702084,No
3.0247345249674327,3.049469049934866,762.3672624837164,6.611305362353448,No
21.0,1.0,250.0,21.0,No
2.445711864187648,21.0,5250.0,47.54288135812352,Yes
2.0,3.0,750.0,14.76098273709229,Yes
3.1840894900892263,19.407955254955386,4851.988813738847,59.209073881070715,Yes
4.0,5.0,1250.0,24.071229642631934,Yes
15.035780017391112,13.0,3250.0,57.0,No
2.0,1.0,250.0,2.0,Yes
11.336382813067871,6.0,1500.0,28.47093593829502,Yes
14.0,1.0,250.0,14.0,No
12.839838991357682,5.0,1250.0,14.232032201728464,No
16.0,1.0,250.0,16.0,No
9.055243584361916,2.0,500.0,25.944756415638082,No
6.321750874196071,9.0,2250.0,45.53564982516079,No
14.105349126723036,4.0,1000.0,29.894650873276966,No
2.876411838779104,4.0,1000.0,16.0,No
16.0,1.0,250.0,16.0,No
14.474869389226246,3.0,750.0,31.71230408383937,No
14.65667500134305,6.0,1500.0,40.26866499973139,No
6.211263942499782,2.0,500.0,48.65351673099974,No
4.0,1.0,250.0,4.0,Yes
4.0,2.0,500.0,29.56883577539314,No
22.493414402192023,3.0,750.0,39.49341440219202,No
4.0,1.0,250.0,4.0,No
4.321263401014663,5.0,1250.0,46.183579086294095,No
2.2920224627041503,5.0,1250.0,37.29202246270415,No
21.0,1.0,250.0,21.0,No
18.435150156155114,4.0,1000.0,79.82666453110089,No
8.528358636896186,8.0,2000.0,52.0,Yes
5.003423080362123,12.0,3000.0,50.30376538839833,No
18.448322820639223,6.0,1500.0,83.44832282063922,No
9.210679664284216,3.0,750.0,52.0,No
21.37870293379579,4.0,1000.0,53.72057647386854,No
11.728570373062668,7.0,1750.0,65.94285432816712,No
12.922160831420022,4.0,1000.0,61.844321662840045,No
4.0,5.0,1250.0,34.68937037660131,No
45.12613288887174,1.0,250.0,45.12613288887174,No
2.0,2.0,500.0,4.0,No
14.081891963524004,12.0,3000.0,53.06897285836159,No
3.70271876207922,20.29728123792078,5074.320309480195,60.97340657613894,Yes
4.0,5.0,1250.0,15.269454448228261,Yes
2.0,8.0,2000.0,35.71294141715561,Yes
13.0,3.0,750.0,14.42366616205698,No
22.361280180334482,3.0,750.0,30.23551936882931,No
11.889155314710537,15.0,3750.0,60.703614895096486,No
2.0,7.0,1750.0,30.650309605903384,Yes
6.795857902907321,12.0,3000.0,63.60552279612357,Yes
16.0,1.0,250.0,16.0,No
6.572097738324676,4.0,1000.0,16.0,No
21.0,1.0,250.0,21.0,No
14.0,3.0,750.0,39.03694227913506,No
21.678999209050044,2.0,500.0,23.0,No
2.0,2.0,500.0,11.0,No
2.082908838098197,5.0,1250.0,46.25382045711623,Yes
2.0,1.0,250.0,2.0,No
2.500716508705975,4.0,1000.0,16.500716508705974,No
23.0,1.0,250.0,23.0,No
11.932999234213666,16.0,4000.0,95.07174891513603,No
6.8616813375359325,3.0,750.0,73.04405809823996,No
16.0,6.0,1500.0,35.0,No
12.201696785985122,7.0,1750.0,36.19886880934325,No
2.4011604659427093,20.40116046594271,5100.290116485678,43.79651860217187,Yes
11.968318788933397,10.0,2500.0,75.89703606403354,No
4.0,5.0,1250.0,16.0,Yes
2.0,4.0,1000.0,25.122002293424877,No
2.0,11.0,2750.0,26.483493311638806,No
4.834529133353601,17.0,4250.0,76.21584462211413,No
12.248757216933392,6.0,1500.0,45.16252405644464,No
15.568951774677565,6.0,1500.0,35.51725787038692,Yes
11.0,1.0,250.0,11.0,No
4.970751951317485,7.0,1750.0,76.0,No
11.0,4.0,1000.0,60.604024696472926,No
14.0,1.0,250.0,14.0,No
2.0,1.0,250.0,2.0,No
2.0,8.0,2000.0,37.1141052054942,Yes
4.0,2.0,500.0,42.21954709184432,No
2.0,5.0,1250.0,16.0,No
