Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,target
28.7,80.2,15.8,23.3,17.5,7.8,0.87,10.2,512.0,Good
23.5,44.5,3.6,8.1,23.2,1.6,1.02,10.3,221.0,Good
27.8,85.9,24.2,35.3,28.1,8.0,1.31,8.5,497.0,Moderate
35.3,65.1,109.6,122.9,40.9,8.3,2.64,10.5,777.0,Poor
56.0,68.8,15.8,29.9,48.9,17.4,3.11,3.3,535.0,Hazardous
25.6,60.3,21.4,34.0,30.4,3.7,1.37,7.8,315.0,Moderate
33.0,90.1,35.3,49.5,31.2,7.4,1.6,6.2,358.0,Moderate
20.6,69.0,23.2,27.0,13.6,2.4,0.92,13.1,444.0,Good
30.3,76.3,9.2,20.7,38.4,17.2,1.61,3.6,726.0,Poor
28.2,73.2,27.8,39.6,23.7,1.3,1.46,5.7,563.0,Moderate
34.9,51.8,31.4,40.1,19.6,12.0,1.46,6.0,634.0,Moderate
31.0,93.2,28.7,48.3,44.2,11.3,2.29,10.1,592.0,Poor
34.1,73.4,5.5,12.2,20.9,4.6,1.0,10.1,188.0,Good
51.3,89.9,13.7,28.8,64.9,20.6,2.18,2.6,807.0,Hazardous
52.7,61.7,3.1,17.3,53.0,14.2,2.29,5.1,731.0,Hazardous
55.7,75.9,76.4,82.2,40.8,24.5,1.98,15.9,650.0,Hazardous
25.4,43.2,48.2,55.1,21.1,1.1,0.95,11.0,537.0,Good
24.7,57.4,2.9,7.9,22.9,2.3,0.92,10.1,361.0,Good
28.2,66.9,0.3,13.2,26.0,9.6,1.51,5.0,379.0,Moderate
27.4,67.7,15.8,19.3,22.7,6.8,0.83,11.6,546.0,Good
22.6,72.2,20.1,23.5,17.9,2.0,1.13,11.9,581.0,Good
22.5,80.2,2.5,5.6,12.8,3.1,1.09,12.3,278.0,Good
44.6,78.5,37.5,42.2,39.1,30.8,2.95,5.0,743.0,Hazardous
29.1,44.2,3.0,12.2,14.6,4.4,0.9,10.6,305.0,Good
30.5,80.8,11.9,27.8,25.6,16.7,1.87,6.7,716.0,Poor
27.1,81.7,14.9,19.8,19.1,5.5,0.92,11.9,242.0,Good
29.2,63.7,0.2,11.0,24.3,18.3,1.3,11.8,574.0,Moderate
36.1,82.6,28.1,28.1,31.7,12.7,1.52,9.0,601.0,Moderate
23.0,75.6,4.9,7.0,12.7,3.8,1.05,10.7,331.0,Good
37.2,102.1,20.6,36.4,37.9,24.6,3.07,4.1,508.0,Hazardous
25.6,42.7,5.4,8.4,19.3,4.6,0.92,10.3,418.0,Good
41.7,97.8,2.5,7.6,47.9,27.3,2.16,2.5,688.0,Hazardous
45.5,90.8,19.6,56.9,29.1,17.4,2.76,9.4,684.0,Hazardous
30.3,86.8,16.4,30.2,38.2,22.4,2.39,5.7,479.0,Poor
31.1,70.9,35.2,44.7,26.9,5.8,1.45,7.2,455.0,Moderate
21.6,45.0,15.0,17.5,15.1,0.4,1.1,10.3,487.0,Good
21.8,57.2,12.7,17.4,25.6,3.7,1.25,16.9,450.0,Good
30.7,65.8,5.5,14.2,25.8,11.0,1.32,5.6,380.0,Moderate
31.7,78.8,22.2,33.1,31.5,10.8,1.6,6.2,494.0,Moderate
23.5,56.5,24.8,31.9,17.5,6.2,1.01,11.0,329.0,Good
34.2,81.3,54.5,65.0,28.2,11.6,2.19,6.4,709.0,Poor
34.7,85.0,4.1,14.2,29.5,13.2,1.41,5.1,608.0,Moderate
25.1,49.3,0.5,6.3,16.7,3.7,0.89,11.7,239.0,Good
33.3,64.4,52.1,66.2,26.1,8.1,1.41,6.3,584.0,Moderate
19.6,65.5,33.8,39.8,30.4,11.9,1.47,6.1,629.0,Moderate
27.4,58.0,2.9,7.0,25.8,2.3,1.0,10.4,562.0,Good
24.6,78.7,15.8,24.2,23.2,9.2,0.93,13.7,384.0,Good
22.9,89.4,13.5,34.2,30.5,34.0,3.09,2.6,833.0,Hazardous
41.9,96.6,47.7,73.1,54.2,7.8,2.9,2.6,682.0,Hazardous
30.1,80.4,65.3,77.1,36.8,16.4,1.71,4.9,597.0,Poor
26.3,90.4,14.7,26.7,35.1,4.8,1.94,3.6,543.0,Poor
36.4,115.7,112.5,121.6,33.0,17.2,2.83,3.5,560.0,Hazardous
26.2,63.6,23.7,29.5,16.7,5.4,1.08,10.7,412.0,Good
31.0,85.8,10.1,24.8,29.4,8.5,1.89,12.1,507.0,Moderate
36.3,58.4,4.7,13.2,24.0,8.8,1.46,6.7,629.0,Moderate
28.4,42.8,0.6,6.7,24.8,9.1,1.05,10.3,599.0,Good
44.9,66.4,75.4,94.8,50.5,33.4,1.95,4.2,659.0,Hazardous
24.8,44.9,2.7,12.5,12.7,3.2,0.96,12.2,405.0,Good
25.0,45.1,12.9,17.6,18.6,6.0,0.95,11.4,605.0,Good
38.5,87.4,15.6,22.3,37.3,13.7,1.62,7.5,412.0,Poor
44.1,101.9,2.1,40.8,31.4,29.7,2.66,6.3,761.0,Hazardous
28.0,64.0,5.0,10.8,15.5,3.4,0.88,12.4,470.0,Good
34.0,62.5,20.5,30.6,29.1,9.5,1.8,6.4,346.0,Moderate
24.9,38.5,14.3,19.5,22.6,5.5,0.88,10.5,369.0,Good
44.1,72.8,45.0,59.2,33.9,13.0,2.21,6.9,707.0,Poor
19.9,76.5,16.2,23.2,19.9,8.0,0.88,10.1,330.0,Good
25.0,61.8,4.4,11.0,26.4,3.4,1.05,11.5,397.0,Good
35.8,64.1,13.8,27.3,30.5,20.6,1.79,4.7,626.0,Poor
32.4,73.0,2.9,13.8,23.4,7.2,1.76,6.9,315.0,Moderate
52.8,83.3,42.7,72.1,42.5,33.9,2.46,2.5,561.0,Hazardous
31.8,85.8,51.5,73.1,20.7,16.8,1.63,6.9,683.0,Moderate
22.7,73.6,8.2,13.6,21.8,5.2,1.14,12.2,472.0,Good
28.1,42.5,0.3,5.1,16.1,5.7,0.99,11.6,326.0,Good
26.8,70.4,4.3,9.3,20.0,5.4,1.16,10.5,591.0,Good
21.4,46.6,13.6,21.9,13.1,7.2,1.22,10.3,253.0,Good
35.2,68.3,4.7,16.8,21.6,13.0,1.3,9.6,478.0,Moderate
28.2,52.3,3.4,11.8,17.2,7.7,0.84,13.0,243.0,Good
30.4,93.5,8.5,29.2,36.6,16.3,1.64,6.0,766.0,Poor
36.9,98.2,23.7,42.8,32.2,19.1,2.15,6.5,493.0,Poor
21.9,70.5,2.8,9.8,15.3,4.4,0.83,11.0,326.0,Good
35.6,87.7,16.8,22.6,24.8,4.0,1.21,11.3,605.0,Moderate
30.6,58.5,17.0,31.9,27.1,9.3,1.54,5.4,405.0,Moderate
24.8,76.1,0.8,9.4,15.0,1.9,0.86,10.8,458.0,Good
19.7,73.8,1.4,6.7,20.1,4.3,1.1,14.2,532.0,Good
32.0,60.1,34.2,50.5,34.5,8.0,1.49,7.8,605.0,Moderate
30.6,107.4,35.4,53.4,31.2,23.4,1.73,5.6,631.0,Poor
31.9,57.1,4.4,12.0,27.0,7.7,1.23,6.1,395.0,Moderate
25.8,54.7,10.2,15.8,14.2,5.0,1.03,10.2,535.0,Good
35.0,99.0,28.8,37.8,50.0,16.0,2.66,2.5,586.0,Hazardous
25.5,74.9,42.2,46.7,19.0,3.0,0.94,11.9,421.0,Good
30.4,58.9,0.2,4.5,19.6,5.5,1.06,10.7,355.0,Good
28.2,56.0,12.8,21.0,23.4,10.6,1.65,5.3,277.0,Moderate
29.7,64.0,2.5,4.3,16.8,6.5,0.98,10.3,445.0,Good
27.1,46.8,26.3,34.7,16.5,6.6,0.92,10.6,428.0,Good
27.4,57.4,2.5,17.0,35.5,10.3,1.63,6.1,365.0,Moderate
41.7,84.9,89.8,106.8,27.3,29.6,2.39,9.3,923.0,Hazardous
28.9,62.5,28.6,39.6,16.2,8.7,0.76,11.2,586.0,Good
28.0,57.2,2.0,7.0,23.7,7.9,0.92,10.7,419.0,Good
28.8,67.1,18.2,23.0,22.1,5.9,1.03,15.6,569.0,Good
27.8,64.2,12.5,17.2,18.8,5.2,1.0,14.1,323.0,Good
31.5,62.0,75.4,82.5,22.7,19.2,1.55,5.9,642.0,Moderate
25.5,80.9,24.7,31.1,13.8,7.2,1.01,13.7,522.0,Good
33.2,109.9,2.8,14.8,26.7,15.2,1.88,9.0,511.0,Poor
24.7,87.2,15.5,25.1,33.3,17.7,2.27,5.1,670.0,Poor
29.8,58.4,27.3,33.4,12.1,8.3,0.9,10.7,410.0,Good
40.1,70.6,9.2,17.9,29.2,18.0,2.16,4.6,569.0,Poor
29.1,41.6,22.5,25.3,19.6,5.8,0.99,11.2,263.0,Good
27.8,96.1,4.5,31.9,39.5,0.7,1.99,4.5,614.0,Poor
34.2,78.8,18.1,29.6,24.6,11.3,1.73,6.8,441.0,Moderate
25.5,73.0,11.6,16.3,11.2,3.0,1.06,11.4,494.0,Good
29.6,80.8,10.5,31.9,30.7,21.5,2.94,4.0,558.0,Poor
38.5,57.4,75.0,83.0,34.9,1.6,2.35,3.7,505.0,Poor
24.6,82.8,5.6,19.8,28.7,19.1,2.02,8.0,710.0,Poor
27.2,74.2,18.5,24.7,38.4,33.9,2.48,3.9,424.0,Poor
23.3,52.6,9.4,17.5,21.0,12.1,1.41,10.8,498.0,Moderate
21.7,56.3,13.8,25.0,17.5,6.9,1.09,10.5,605.0,Good
22.2,83.3,11.0,22.4,25.2,14.7,1.35,10.2,528.0,Moderate
38.2,71.9,0.7,27.3,29.7,23.8,2.18,4.8,593.0,Poor
34.4,54.0,15.7,28.5,28.9,17.2,1.58,8.0,487.0,Moderate
41.4,74.4,27.5,38.8,28.9,21.3,2.18,4.2,778.0,Poor
24.0,55.5,4.1,5.7,12.7,4.3,0.89,13.9,545.0,Good
26.4,54.3,4.2,7.6,23.8,5.8,1.02,11.7,299.0,Good
25.4,75.7,17.5,29.2,18.7,11.8,1.45,7.0,462.0,Moderate
18.7,53.5,28.3,35.6,20.3,4.3,0.94,10.8,530.0,Good
26.3,58.7,2.6,6.5,23.8,6.4,0.99,11.2,530.0,Good
45.9,69.9,67.9,68.3,48.6,23.2,2.29,2.6,871.0,Hazardous
23.1,70.5,34.7,39.4,21.6,4.5,0.85,10.8,283.0,Good
20.9,41.1,1.7,8.4,24.8,4.9,1.08,11.2,590.0,Good
27.0,84.3,18.2,25.4,15.5,10.9,1.08,5.5,431.0,Moderate
28.8,40.1,12.0,17.6,25.9,7.2,1.06,13.3,390.0,Good
26.4,61.3,3.4,6.2,34.9,24.1,1.74,4.4,672.0,Poor
36.4,61.5,35.3,30.1,28.7,6.4,1.1,5.7,312.0,Moderate
42.6,98.3,5.8,11.7,35.4,25.2,2.33,8.4,561.0,Poor
34.4,68.6,14.6,20.6,28.4,6.4,1.36,7.2,412.0,Moderate
38.6,58.3,9.6,29.6,28.4,13.7,2.17,3.5,422.0,Poor
34.8,75.2,8.9,28.9,32.5,16.6,1.8,7.1,517.0,Poor
34.9,83.9,7.0,9.5,31.4,7.8,1.68,5.1,524.0,Moderate
25.6,65.8,0.3,5.2,18.7,7.0,0.86,11.0,303.0,Good
26.0,49.6,38.8,43.0,15.1,6.2,1.15,10.2,469.0,Good
19.6,38.3,4.0,8.8,21.1,9.1,0.95,10.2,285.0,Good
18.2,45.5,9.4,17.0,15.5,6.4,0.89,14.1,373.0,Good
44.1,91.8,42.0,61.6,38.7,32.5,2.39,3.4,613.0,Hazardous
30.1,54.7,5.2,7.2,30.1,18.6,1.65,5.8,520.0,Moderate
29.6,54.6,7.7,14.1,18.6,6.7,0.99,11.6,340.0,Good
30.9,73.9,7.1,19.8,27.7,4.1,1.19,6.1,545.0,Moderate
30.9,81.4,14.5,24.8,27.9,15.9,1.59,7.1,392.0,Moderate
21.9,56.3,16.4,20.3,23.3,9.4,0.84,10.8,271.0,Good
21.1,50.6,1.1,14.4,32.2,13.1,1.54,7.4,634.0,Moderate
24.0,86.1,44.5,52.2,29.5,15.4,1.49,5.5,689.0,Moderate
35.5,75.9,5.6,28.7,44.0,24.8,2.39,5.2,536.0,Poor
29.2,83.7,5.8,20.6,25.7,11.9,1.46,5.1,698.0,Moderate
28.9,87.3,98.3,118.1,34.8,13.4,1.76,7.9,760.0,Poor
22.4,65.2,34.2,38.7,28.2,5.9,1.02,10.7,532.0,Good
40.8,82.2,2.4,14.3,29.8,10.6,1.04,5.1,481.0,Moderate
39.1,82.6,11.4,31.9,27.9,18.5,2.0,4.5,750.0,Poor
34.1,90.5,14.3,17.4,19.6,6.4,1.59,7.0,494.0,Moderate
20.1,73.7,9.2,14.6,15.9,3.5,0.93,13.6,512.0,Good
28.1,82.0,14.5,19.5,27.0,9.3,1.47,8.2,697.0,Moderate
39.3,73.0,15.0,35.5,34.2,8.1,2.05,3.7,655.0,Poor
21.9,48.9,6.7,11.1,13.7,7.1,0.93,11.4,549.0,Good
25.3,79.8,2.3,10.9,33.5,14.1,2.04,4.3,602.0,Poor
25.7,39.5,11.7,16.9,18.6,7.0,1.01,16.5,206.0,Good
24.5,73.3,7.8,12.5,21.6,4.5,0.94,10.2,322.0,Good
26.4,76.1,16.6,21.8,20.2,5.7,1.73,5.3,633.0,Moderate
26.0,65.5,12.3,16.1,24.8,3.1,0.99,10.9,405.0,Good
41.3,103.3,168.6,185.0,47.0,28.8,1.99,4.3,631.0,Hazardous
32.6,61.4,37.3,53.1,27.8,11.8,1.65,5.1,529.0,Moderate
33.4,80.3,3.1,13.0,23.3,10.1,1.76,7.3,600.0,Moderate
24.5,73.2,3.5,7.3,25.3,4.6,1.37,10.7,399.0,Good
30.2,72.3,13.7,22.2,29.8,10.1,1.74,9.7,555.0,Poor
24.1,47.7,15.6,17.9,17.7,2.9,1.02,12.9,426.0,Good
33.8,78.8,120.5,139.6,41.6,5.3,1.88,3.3,688.0,Poor
24.0,79.3,6.2,13.3,22.0,6.6,0.9,10.5,579.0,Good
22.0,72.9,7.5,11.7,21.2,4.0,0.88,25.2,300.0,Good
28.7,60.8,20.4,34.7,31.8,9.5,1.4,7.6,667.0,Moderate
31.6,54.6,1.0,7.7,18.8,3.2,1.05,11.1,208.0,Good
47.1,61.2,15.8,34.2,29.7,18.3,1.56,10.4,675.0,Poor
26.9,67.4,4.4,12.5,31.9,11.2,1.69,5.8,311.0,Moderate
27.3,79.9,26.9,33.8,16.6,6.0,0.91,10.1,365.0,Good
38.1,92.0,115.9,153.7,37.6,23.6,2.96,2.7,511.0,Hazardous
50.6,92.4,42.9,58.7,40.4,29.7,3.34,4.8,695.0,Hazardous
27.3,73.2,8.6,11.8,17.2,4.8,1.1,11.4,345.0,Good
22.2,69.7,19.1,21.7,25.0,9.2,1.15,12.5,595.0,Good
49.0,98.4,149.7,183.1,33.8,7.6,1.12,5.2,797.0,Hazardous
28.3,59.1,1.5,6.1,23.4,7.0,1.1,10.9,511.0,Good
28.5,44.0,1.3,3.1,15.1,5.0,0.83,19.2,405.0,Good
27.7,68.1,30.4,35.6,28.8,5.0,0.86,11.0,485.0,Good
26.9,66.8,10.5,18.7,30.4,10.5,1.71,10.8,589.0,Moderate
24.7,55.3,11.2,15.3,12.5,6.6,0.99,17.5,200.0,Good
25.1,70.1,9.5,17.4,25.8,4.4,0.83,12.3,596.0,Good
21.5,61.4,4.2,10.4,22.1,-0.1,0.95,10.9,447.0,Good
30.1,71.8,6.7,24.3,28.7,12.4,1.34,6.9,571.0,Moderate
24.8,84.3,1.0,9.2,24.8,2.7,1.64,9.2,614.0,Moderate
34.0,104.3,25.9,44.1,41.7,15.9,2.35,7.1,676.0,Hazardous
32.7,64.6,12.6,18.9,30.5,9.5,1.65,7.2,505.0,Moderate
32.4,62.5,28.9,38.3,31.0,7.0,1.64,5.1,688.0,Moderate
28.4,79.6,21.5,37.8,21.6,11.1,1.68,5.6,655.0,Moderate
22.5,67.5,4.9,8.1,24.6,3.6,0.97,14.2,471.0,Good
28.8,44.8,4.2,8.8,12.1,3.9,0.92,14.0,298.0,Good
30.1,56.7,7.9,25.2,26.4,11.4,1.39,7.0,662.0,Moderate
24.2,80.6,3.3,13.0,23.6,14.5,1.22,6.1,367.0,Moderate
29.7,82.0,20.8,30.1,26.9,11.6,1.39,7.2,424.0,Moderate
34.1,65.4,49.1,56.2,23.1,10.2,1.49,7.9,385.0,Moderate
24.0,46.1,0.0,2.2,15.1,6.8,1.13,10.8,465.0,Good
29.1,93.5,9.8,30.2,29.3,13.4,1.54,5.4,402.0,Poor
37.7,73.8,16.9,36.9,40.0,25.8,2.3,5.1,451.0,Poor
25.6,46.0,9.2,14.7,17.1,1.3,0.88,10.2,333.0,Good
24.7,38.8,16.9,24.5,16.6,3.4,1.06,11.2,485.0,Good
40.5,106.5,61.9,84.7,37.6,19.6,3.03,4.5,625.0,Hazardous
36.6,90.5,21.9,33.1,30.7,19.9,2.3,7.2,443.0,Poor
24.6,90.1,45.9,52.9,19.0,10.9,1.79,6.7,550.0,Moderate
29.6,76.8,33.8,40.2,13.1,3.6,1.16,12.6,326.0,Good
31.5,66.1,1.5,9.5,23.4,8.2,1.39,6.6,691.0,Moderate
22.3,50.9,11.1,18.3,19.5,5.1,1.02,11.6,287.0,Good
32.9,56.0,6.0,15.9,21.0,12.3,1.78,6.4,434.0,Moderate
28.1,83.5,11.8,24.0,28.6,9.0,1.07,9.0,690.0,Moderate
25.2,46.0,3.9,8.2,22.8,0.2,1.17,10.4,392.0,Good
29.5,68.8,1.2,7.0,13.6,6.1,0.98,11.1,368.0,Good
24.2,89.0,22.8,31.7,34.3,10.9,1.46,5.8,623.0,Moderate
26.8,91.8,5.1,10.5,28.3,7.2,1.31,9.6,376.0,Moderate
20.2,52.4,11.0,14.6,12.2,4.4,0.95,18.7,418.0,Good
23.2,39.6,0.8,7.3,21.7,5.8,0.91,10.9,438.0,Good
25.8,56.2,8.5,16.8,29.4,10.3,1.3,5.0,414.0,Moderate
33.3,59.2,9.5,25.1,38.2,19.9,1.69,4.9,450.0,Poor
25.2,69.1,75.3,89.9,30.1,10.8,2.18,8.4,483.0,Poor
27.5,62.3,1.1,6.0,14.1,5.6,1.04,10.9,533.0,Good
26.0,76.0,1.0,4.5,13.1,2.7,1.09,10.2,248.0,Good
38.2,95.1,15.8,31.3,26.2,11.0,2.43,5.5,616.0,Poor
41.4,82.4,12.6,27.3,41.2,9.1,1.91,4.3,471.0,Poor
22.2,76.9,2.5,5.7,20.6,6.0,0.92,11.3,339.0,Good
28.2,49.3,40.9,48.4,21.3,8.8,1.64,11.6,617.0,Moderate
27.3,48.7,18.1,24.7,12.8,4.6,1.05,10.8,224.0,Good
22.6,41.7,5.7,12.1,21.5,6.1,0.85,10.3,407.0,Good
48.6,88.7,37.5,64.1,34.3,5.6,1.75,6.2,592.0,Poor
36.0,95.2,7.0,21.6,36.2,13.8,1.75,4.5,564.0,Poor
21.2,59.5,6.5,9.8,22.9,5.0,1.09,10.5,595.0,Good
25.8,55.8,18.9,26.4,19.9,7.3,1.0,12.0,579.0,Good
37.1,100.9,3.5,19.9,46.0,18.4,2.08,6.6,473.0,Poor
21.5,47.3,10.6,18.8,15.6,6.2,1.0,11.4,271.0,Good
27.8,66.9,12.1,14.6,25.5,4.5,1.06,13.9,442.0,Good
23.6,73.0,10.5,13.8,17.1,6.3,1.03,10.4,571.0,Good
33.5,68.3,54.1,72.7,30.6,25.1,1.52,7.2,570.0,Poor
21.2,75.1,25.1,31.7,26.0,10.3,1.48,6.9,666.0,Moderate
28.4,76.2,16.8,28.7,30.0,8.2,1.64,5.7,644.0,Moderate
31.7,51.8,30.9,45.9,21.7,7.4,1.08,6.9,460.0,Moderate
28.4,62.8,24.6,35.1,23.5,12.3,1.53,5.4,543.0,Moderate
27.7,58.8,39.1,50.7,33.0,9.8,1.43,7.9,408.0,Moderate
24.7,78.7,0.1,6.4,13.0,4.7,0.97,10.8,193.0,Good
32.5,74.8,53.5,65.2,22.0,11.4,1.54,5.4,399.0,Moderate
27.5,83.2,6.7,16.6,24.2,10.1,1.63,9.3,566.0,Moderate
24.2,75.7,29.5,34.0,17.0,5.9,1.06,10.3,483.0,Good
48.4,109.0,103.3,114.9,48.6,25.6,2.23,5.9,863.0,Hazardous
24.7,69.8,5.7,8.5,26.4,2.9,1.15,12.4,443.0,Good
26.8,64.3,10.7,15.9,26.5,3.8,1.3,12.8,451.0,Good
27.3,72.1,20.4,25.9,24.7,2.8,0.83,10.7,238.0,Good
23.1,45.4,4.6,14.4,20.0,7.8,1.09,10.4,310.0,Good
25.2,77.3,2.2,4.3,12.2,1.8,0.87,10.2,547.0,Good
19.1,50.6,4.8,18.4,33.6,5.9,1.98,6.6,648.0,Moderate
27.9,41.1,24.9,29.8,23.5,6.1,1.08,10.8,294.0,Good
23.8,68.8,21.8,29.6,14.6,5.3,0.89,10.9,583.0,Good
29.0,42.8,2.0,2.3,20.5,5.9,1.03,10.1,428.0,Good
24.2,46.4,2.2,7.6,20.9,3.6,1.04,10.9,365.0,Good
44.7,78.8,87.4,113.0,37.8,16.0,2.07,3.4,549.0,Poor
47.0,63.5,82.5,101.4,41.3,24.7,2.46,2.9,582.0,Hazardous
32.2,59.9,29.3,38.6,32.9,18.3,2.14,6.0,563.0,Poor
29.3,72.3,113.9,126.4,36.9,13.2,1.53,5.2,630.0,Moderate
40.4,59.6,5.1,17.0,30.5,11.7,1.35,8.9,673.0,Moderate
24.0,60.3,1.5,8.1,22.2,6.0,1.14,11.1,301.0,Good
21.8,88.6,1.7,13.9,29.4,10.8,1.66,6.2,541.0,Moderate
24.4,57.1,1.6,5.3,16.7,7.9,1.02,16.4,228.0,Good
24.9,79.2,5.5,12.2,21.3,4.6,1.0,11.9,225.0,Good
25.6,68.2,8.0,21.8,27.9,9.9,1.6,5.2,579.0,Moderate
28.7,93.1,24.5,32.8,20.5,7.7,1.46,5.5,300.0,Moderate
52.3,84.7,21.2,36.4,26.8,15.6,2.27,2.7,647.0,Hazardous
22.1,83.0,0.7,9.3,32.5,11.4,1.6,6.3,512.0,Moderate
28.7,84.0,79.8,86.5,24.0,6.7,1.2,9.6,423.0,Moderate
22.4,58.6,8.1,12.7,12.4,4.0,1.1,10.2,591.0,Good
35.0,60.9,3.3,8.2,27.0,15.3,1.41,7.0,684.0,Moderate
35.5,100.3,3.2,22.2,38.7,16.2,1.74,7.9,717.0,Poor
32.6,54.3,5.7,19.6,25.9,11.8,1.35,7.0,649.0,Moderate
27.9,39.7,2.3,8.1,22.2,6.3,1.0,10.2,430.0,Good
26.5,78.8,0.1,14.2,38.2,3.5,1.14,7.9,589.0,Moderate
36.8,105.9,106.8,117.2,44.6,16.0,2.34,7.6,716.0,Hazardous
27.7,66.3,12.1,16.9,23.3,6.2,1.06,10.7,287.0,Good
26.7,42.5,1.4,4.7,21.1,5.6,1.07,10.2,484.0,Good
34.4,65.9,44.9,62.7,50.5,9.1,2.37,4.5,574.0,Hazardous
20.7,59.2,8.8,14.1,23.1,1.9,0.99,10.7,346.0,Good
25.1,57.2,11.5,16.7,13.4,3.6,0.88,10.8,548.0,Good
27.6,52.8,39.5,54.9,28.7,7.3,1.37,5.5,382.0,Moderate
31.1,59.2,31.2,46.1,32.8,10.5,1.48,6.5,450.0,Moderate
32.6,87.7,59.1,82.6,33.7,9.4,1.7,5.1,634.0,Poor
44.0,70.6,23.0,42.3,35.2,17.2,1.79,3.5,726.0,Poor
24.1,81.4,80.4,93.2,19.7,12.8,1.66,9.5,400.0,Moderate
22.2,65.9,7.9,13.5,14.3,5.0,0.89,11.0,390.0,Good
36.4,77.4,39.3,62.4,25.9,10.8,2.37,4.8,774.0,Poor
26.2,54.4,21.0,22.0,26.8,6.1,0.88,10.4,377.0,Good
33.3,59.8,53.4,57.2,34.9,14.6,1.81,15.8,629.0,Poor
32.6,67.2,45.4,61.4,27.4,5.2,1.43,7.2,470.0,Moderate
22.5,43.3,3.3,8.3,26.3,5.6,0.97,10.4,434.0,Good
24.4,59.2,1.2,9.1,20.1,7.2,0.89,12.2,600.0,Good
20.6,80.8,14.4,21.1,22.5,5.0,0.96,12.0,584.0,Good
25.7,78.9,47.3,61.1,32.0,8.7,1.23,7.4,530.0,Moderate
30.9,51.6,0.6,5.3,20.0,6.9,1.02,13.0,484.0,Good
25.2,51.0,2.5,6.8,22.8,7.1,1.17,12.8,500.0,Good
36.5,68.3,4.4,19.3,32.0,14.8,2.18,8.2,771.0,Poor
24.6,76.5,13.9,21.6,20.0,5.9,1.11,10.8,414.0,Good
27.6,78.7,4.8,8.5,24.4,5.1,1.0,10.9,513.0,Good
29.8,91.3,3.6,10.8,34.6,14.0,1.09,7.0,649.0,Moderate
24.4,44.8,7.4,8.4,24.9,4.9,1.02,10.0,541.0,Good
37.2,80.5,35.6,44.6,34.2,24.1,2.17,6.3,607.0,Poor
35.0,81.6,52.5,65.4,32.5,5.0,1.59,8.2,624.0,Moderate
42.1,83.5,14.7,36.2,42.8,0.1,2.31,3.4,797.0,Poor
35.5,97.4,12.8,37.3,24.7,13.0,1.75,12.4,513.0,Poor
41.0,67.4,11.3,26.7,28.3,21.9,2.04,5.5,493.0,Poor
24.6,89.2,4.1,16.2,32.0,2.6,1.83,3.9,480.0,Poor
19.1,46.7,3.8,7.0,20.0,6.6,0.88,11.1,395.0,Good
27.2,62.6,8.5,13.2,27.2,6.6,0.95,10.2,505.0,Good
30.4,77.7,27.8,37.1,19.9,8.1,1.98,10.4,693.0,Moderate
28.4,80.6,7.8,11.7,14.7,4.8,0.76,10.6,366.0,Good
36.1,79.0,19.0,27.4,20.5,13.8,1.49,6.9,604.0,Moderate
17.0,77.2,19.0,26.3,19.7,8.1,1.0,11.1,217.0,Good
46.6,81.9,6.6,31.9,54.9,11.8,2.19,2.8,734.0,Hazardous
32.3,65.9,28.5,38.8,26.4,4.1,1.63,7.5,662.0,Moderate
21.3,53.4,16.1,22.3,19.3,3.7,0.98,11.8,314.0,Good
24.0,57.7,1.7,7.6,13.1,5.4,0.83,10.3,449.0,Good
25.7,86.6,4.4,16.6,18.2,10.9,1.37,5.6,594.0,Moderate
27.1,66.8,0.1,5.2,23.1,6.4,0.99,12.7,417.0,Good
41.1,110.2,26.6,42.7,26.8,9.0,2.4,8.7,814.0,Poor
41.6,105.2,62.8,89.8,42.7,21.8,2.47,4.7,677.0,Hazardous
42.8,61.5,13.8,22.2,31.0,9.1,1.97,5.5,637.0,Poor
27.8,61.2,16.3,24.1,10.6,6.8,1.19,11.1,365.0,Good
23.8,51.1,8.8,12.7,14.1,4.3,0.94,13.6,425.0,Good
27.4,67.4,3.6,10.7,28.0,3.1,1.06,12.5,424.0,Good
22.2,53.1,10.4,11.7,11.8,4.9,1.0,10.1,300.0,Good
26.5,93.2,18.4,18.5,28.5,2.2,1.17,8.4,506.0,Moderate
32.5,89.5,40.5,56.8,31.3,18.7,1.86,8.1,630.0,Poor
50.4,102.2,51.6,74.0,36.4,37.6,2.3,3.3,671.0,Hazardous
28.4,75.9,17.2,27.6,15.5,7.1,1.15,11.1,338.0,Good
27.5,56.7,7.0,15.8,18.5,0.8,1.09,18.1,406.0,Good
24.3,78.1,0.5,5.2,24.3,2.6,1.0,12.0,517.0,Good
16.1,69.8,14.1,19.9,14.4,9.7,0.98,11.0,498.0,Good
30.7,93.7,135.1,144.6,36.7,20.0,2.12,4.1,531.0,Poor
35.5,95.0,31.6,52.5,24.3,13.6,2.34,4.3,478.0,Poor
41.1,68.2,14.3,22.6,32.7,13.6,1.86,5.4,453.0,Moderate
24.4,79.8,10.9,29.8,19.6,6.9,1.47,8.2,593.0,Moderate
35.5,69.0,22.0,38.7,35.0,9.9,2.1,6.1,490.0,Poor
25.0,55.9,15.9,22.9,16.0,8.3,1.07,10.6,329.0,Good
25.1,61.0,17.5,36.0,27.6,17.5,1.51,6.6,458.0,Moderate
