day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,target
,,,,,,,,,,,,,not fire
,,,,,,,,,,,,,not fire
,,,,,,,,,,,,,fire
,,,,,,,,,,,,,fire
,,,,,,,,,,,,,fire
,,,,,,,,,,,,,not fire
,,,,,,,,,,,,,not fire
,,,,,,,,,,,,,fire
,,,,,,,,,,,,,fire
,,,,,,,,,,,,,fire
,,,,,,,,,,,,,fire
,,,,,,,,,,,,,not fire
,,,,,,,,,,,,,not fire
25.898172625430416,7.0,2012.0,35.63272420847681,50.448505276821294,13.24485052768213,0.0,89.78581389186752,22.408122948529808,101.53400248744342,8.271511576556273,28.726661048874142,14.540963364185398,fire
24.089483603252738,6.342413693734972,2012.0,34.171206846867484,53.34241369373497,17.315172612530056,0.0,88.98287931531326,21.08637945939754,78.02294893666244,8.891827675638524,25.132293297216805,14.417896720650548,fire
12.00904075014519,8.465461233313976,2012.0,29.198191849970964,82.12007356645373,16.138155066744098,0.10690775333720502,78.67804781819493,7.642350595037749,38.18057612710416,2.679276739988385,10.05106649840399,2.5396383699941927,fire
15.0,6.045618122253135,2012.0,28.18247248901254,89.20168286057013,14.954381877746865,0.006842718337970266,67.15582135357445,7.391596113463168,16.474544955646955,1.2570226528164188,7.439855010785856,0.730011648421435,not fire
5.382111264680181,7.0,2012.0,33.30894436765991,60.07316689702027,18.345527816170044,0.0,86.22629054366043,12.8398388044259,35.49851189242616,7.159215647319557,13.431979555404578,8.805828582128191,fire
17.54635234902335,8.260486353463554,2012.0,31.588297762877563,73.20972706927107,13.0,0.0,78.1363066890767,9.847233736057177,50.58065205834973,3.973176174511675,13.202750357993338,5.972400984369705,not fire
8.938268037061604,8.691358247683649,2012.0,30.8518505138981,71.45679123841825,17.6172835046327,0.06913582476836498,74.54197087109537,9.307402055592405,51.16293734114865,3.683948967140992,12.714807723659941,5.53086056275651,not fire
4.939114349795146,8.060885650204854,2012.0,30.408671524692718,68.30442825102426,15.59132847530728,0.053044282510242714,77.13376345309486,6.126014574078156,25.701567825318303,3.372140134569806,7.4077488790167,3.458210201854709,not fire
24.09988928084175,6.0,2012.0,32.37893571377282,54.65798214670388,14.0,0.0,87.39576499892291,19.670465711618643,80.8445124901267,6.206297142036506,24.4183482110801,10.633115355270778,fire
14.54813345244735,8.377771479620293,2012.0,28.96295246603382,69.77041865624443,13.792590493206765,0.041481901358647134,72.87328042881046,4.174824681928208,20.491159606923745,1.5888857398101466,5.506679892797385,0.6962952466033823,not fire
15.675734921074003,8.9729779100895,2012.0,33.1351104495525,26.2431988091945,13.054044179821,0.0,93.89729779100895,21.2486397618389,58.75413551647676,14.240533134865748,22.413511044955246,19.3432353438568,fire
22.640006601080742,6.794999174864907,2012.0,33.19249876229736,53.35999339891926,13.794999174864907,0.18075012377026387,82.72224707077044,18.63849975245947,84.67824971120271,3.6707484735000793,24.038499752459472,6.404247400824458,fire
23.11011895172667,6.0,2012.0,31.0,67.8531747310311,16.07341263448445,0.09632936827577764,73.98819401932158,11.056944220695566,41.07093152002693,3.8582836358645602,12.978521539317903,5.639037533797452,not fire
13.311242364624427,7.688757635375573,2012.0,34.68875763537557,62.37751527075115,14.377515270751147,0.1867454187746562,82.92272502342001,15.514085516206418,65.74072492036063,4.499409359190079,19.42012216600917,7.274321772530385,fire
9.22807932231121,8.815788101653318,2012.0,30.429827762808927,70.78945721983983,16.75438413553776,0.8447364304959956,63.87282096652459,4.1105375664427894,11.101774509084663,1.7508820408249417,4.479835583385009,1.5052713900800896,not fire
14.629633885167255,8.359568078548635,2012.0,29.123455371610916,71.04475113596502,14.359568078548635,0.07191361570972712,79.53224969972106,9.691973677352552,30.973761424800838,3.761727685805458,10.820060061642824,4.534721105143595,fire
14.452921899269729,7.650224761482287,2012.0,33.95067428444686,62.34977523851771,17.25112380741143,0.0,88.56053942755749,18.89776456623213,91.55385748836387,8.265921522077376,24.724225515866994,13.562337519415783,fire
13.998599692726696,7.47050586427804,2012.0,33.88202345711216,58.294941357219585,14.94101172855608,0.0,88.1762646606951,23.46250657622369,95.57798010261608,7.858428148534596,28.96770524973143,14.092840896309633,fire
18.342721061703287,6.1713605308516435,2012.0,30.71439911524726,76.3435148684341,13.543038584395616,0.3971043008159315,57.15132877858241,2.471201769505479,9.148115556706014,0.6942879823049452,2.9426416810302056,0.21142403539010962,not fire
22.337070210498297,8.245417357342195,2012.0,32.26374792797341,79.79124378392025,20.01833057063122,0.22087562160797536,79.27994251686374,36.103469334006554,153.128950861767,3.5901227207707573,45.48300278163443,10.058657826019905,not fire
27.788200794842105,6.276474900644736,2012.0,33.53920849892544,44.94906560687719,15.368633200859648,1.5525467196561404,79.34058262916184,11.225870278194737,10.68415171509342,2.190784169978509,10.956266028732019,2.0801942097206143,not fire
11.224977254800311,8.721877843149962,2012.0,31.94685509795027,72.21257960819891,15.834366470550115,0.0,84.82435737247025,10.152789470485317,52.911686783472575,5.224357372470241,13.5877758233655,6.731531509665425,fire
12.59523992330026,9.0,2012.0,32.05137892718428,68.91227800776804,14.169172643689432,0.12205515708737119,63.2874726741732,11.762908980776034,56.900007677861105,1.3205515708737119,15.436343065047685,2.3190479846600525,not fire
5.313539622983653,8.84843773580958,2012.0,29.20208301892056,71.83802264120676,16.84843773580958,0.09494792452698596,69.42557132102186,2.9609358493329507,19.595150189693832,1.6930203774348147,4.183227170145568,1.1264573586537423,fire
25.829166428337068,6.0,2012.0,31.0,64.0,17.4874992850112,0.0,86.78291664283371,17.18499914201344,70.43333142669653,6.529166428337066,21.03624921351232,10.224166142341545,fire
28.38182450226071,8.0,2012.0,34.363625829565486,56.38182450226071,14.636374170434518,0.3490900663652386,80.46002085746035,35.82907152640049,166.28000463499117,3.0800162224691574,31.707291056556063,7.792755293355817,not fire
27.908594595139995,9.0,2012.0,26.0,80.272851351215,17.364256756075008,2.8914054048600066,47.727421621458,2.9272851351215,7.7,0.32728513512150015,3.0,0.1,not fire
26.098681489106944,6.316886418482175,2012.0,32.0,52.78179507062477,15.267545673928703,0.0,89.86052740435721,31.425776025616685,89.00701826957147,9.374563943500183,34.231475784295114,17.54419381254502,fire
18.281988337815033,7.0,2012.0,33.28198833781504,65.18011662184966,15.281988337815033,0.0,86.66397667563007,24.999754517478628,54.27888920924281,5.792175509411569,24.971555683697126,10.199754517478627,fire
15.545089050764343,6.818303649745219,2012.0,30.727232116751594,77.7272321167516,14.272767883248406,0.4909375182738844,56.681785693401274,1.9545535766496813,8.109107153299362,0.7,2.454553576649681,0.2,not fire
22.92348627458942,7.0,2012.0,27.153027450821167,65.97449542486314,21.821467974041973,0.39234862745894167,68.53666039180656,10.54590823524635,71.06535790874088,1.825504575136861,15.428055032650548,2.148458692760036,not fire
24.4293227339613,6.0,2012.0,31.5706772660387,65.1413545320774,16.1413545320774,0.0,86.24345818716904,12.487968201883897,59.234581871690395,5.64293227339613,16.35969729546842,7.88639046056517,fire
17.08210056118148,6.0,2012.0,31.0,69.08210056118148,16.91789943881852,4.576849158227781,62.145266292545685,3.897263314627284,8.0,1.0917899438818521,3.797263314627284,0.39726331462728404,not fire
18.65943663206965,6.26811267358607,2012.0,30.0,80.0,16.80433802075821,0.4,60.04130140622746,3.8826028124549268,24.39206199678069,0.953622534717214,5.314490138868856,0.426811267358607,not fire
13.246908819399554,8.0,2012.0,35.41563627313319,52.66254509253274,13.0,0.3,81.75719990044651,15.6,82.33207115251741,2.998763527759822,21.24032715507314,5.072836173579688,not fire
4.544792707671404,8.068099088458926,2012.0,33.79570273462323,69.20429726537678,13.068099088458926,0.0,84.94552072923285,8.206809908845893,20.1677350776782,3.986380182308215,8.261289179613032,3.9,fire
4.92135404412459,9.0,2012.0,29.07864595587541,74.29218639712131,15.921354044124591,0.015729191175081925,80.22588452210951,3.4550521691127867,24.204479485276064,2.697760257361967,5.170781360287869,1.6213540441245904,not fire
16.675299297608493,9.0,2012.0,31.205179578565094,49.0,13.119521123826413,0.0,89.18804788761736,10.250398238813114,33.17948204214349,7.409362323100093,11.591434154526132,8.388844365243584,fire
14.429902908225484,6.0,2012.0,30.10747572705637,78.0,19.355145637661774,0.47850485458872577,58.77430097318162,4.309815536947798,7.821495145411274,0.9677572818830886,4.185048545887258,0.3785048545887258,not fire
10.65809118528179,6.829045592640895,2012.0,32.80331914848627,56.512863222077314,15.512863222077314,2.4213276593945072,75.36414954428504,7.3393361703027455,10.388962918267342,1.7367635258872838,7.056431611038657,0.988049848095015,not fire
28.173955813975354,7.0,2012.0,33.173955813975354,57.34791162795071,16.0,0.0,87.6043734883852,16.36103209310634,39.26997581416339,6.821769069782746,16.36103209310634,9.33051604655317,fire
1.971453164320377,6.971453164320377,2012.0,27.142734178398115,74.8858126572815,18.800172150242638,1.1857265821601883,55.73996556995147,2.4028546835679623,8.297145316432038,0.7942906328640754,2.8,0.2971453164320377,not fire
25.847405951318233,6.152594048681767,2012.0,31.0,64.15259404868176,18.0,0.0,86.41851487829558,16.991251541986635,74.37883942272185,6.410071307504643,21.126958449086523,10.09643963935017,fire
29.35423740955095,6.0,2012.0,32.677118704775474,51.614406476122625,14.0,0.0,88.82915251808981,23.739491367583764,91.41161043053454,7.32915251808981,28.752033813314334,13.222881295224525,fire
4.981290063778177,7.9906450318890885,2012.0,34.0,64.91580528700179,13.037419872443646,0.0009354968110911743,86.78035456696708,11.086903044644723,29.67754807653381,5.195322515944544,11.488774038266905,6.091580528700179,fire
5.9683872990886195,6.343870900303793,2012.0,33.34387090030379,55.37548360121517,14.719354501518968,0.0,88.13122581993925,11.172322331124036,32.6663866719139,6.9501934404860695,12.00038688097214,8.128451430820244,fire
22.325181902318484,9.0,2012.0,33.65036380463697,61.398544781452124,13.325181902318484,0.0,88.93251819023185,27.173100277651,109.32419169156191,7.230072760927394,33.57065484834654,14.187772853477725,fire
26.311319015079924,7.0,2012.0,36.0,51.44340492460038,17.132085909520455,0.0,89.54245091658792,18.687726976907612,101.68205824929125,9.595285280396098,25.61225458293958,15.3,fire
